Person,Bing Impressions,Bing Broad Impressions
Hyapatia Lee,21656,22610
Jada Fire,21481,36059
Dian Parkinson,21375,24208
Rayveness,20847,24067
Tiffany Mynx,20705,21768
Danni Ashe,20682,25192
Valentina Nappi,20076,25467
Max Hardcore,19912,26145
Vicky Vette,19494,20090
Ashley Blue,19092,19724
Lisa De Leeuw,18968,19044
Tori Welles,18595,19251
Riley Steele,18330,20135
Jeanna Fine,18169,18835
Lolita Davidovich,17894,19878
Raven Riley,17835,18067
Katja Kassin,17757,18266
Tarra White,17444,17662
Rebeca Linares,17384,17715
Vanessa del Rio,17332,20521
Belladonna,17244,33873
Stacy Valentine,17217,17629
Dick Morris,16960,17659
Jules Jordan,16889,18962
Heather Hunter,16875,17706
Dick Clark,16287,17521
Bobbi Starr,15807,17696
Shy Love,15163,15736
Adria Rae,14966,17113
Kaylani Lei,14958,15928
Dick Sargent,14754,14774
Kobe Tai,14624,15815
Alan Cumming,14245,14545
Monique Alexander,14209,17175
Dylan Ryder,14145,15335
Jessica Jaymes,13948,14549
Inari Vachs,13921,14015
Crissy Moran,13822,14754
Kelli McCarty,13788,15017
Tanya Tate,13352,15609
Jill Kelly,13173,15151
Jelena Jensen,12771,16045
Silvia Saint,12739,14409
Raylene,12695,18248
Anri Okita,12675,17313
Sunny Lane,12604,15908
Maria Ozawa,12587,16670
Blair Williams,12550,16136
Dana DeArmond,12343,13943
Rocco Siffredi,12329,14123
Dick Shawn,12234,12234
Karen Fukuhara,11879,12489
Kianna Dior,11854,14082
Brian Tee,11412,11458
Dick Durbin,11333,13609
Tory Lane,11192,12147
Dick Strawbridge,11134,11312
Brett Rossi,11094,12711
Dick Gautier,11015,11015
Gloria Leonard,10968,11580
Jaimee Foxworth,10464,12752
Mary Carey,10356,29454
Shawna Lenee,10332,10955
Charmane Star,10293,10667
Candy Barr,10237,10402
Vanessa Blue,10160,11967
Jenna Presley,10109,10686
Dana Vespoli,10032,11802
Lily Carter,9832,10659
Harry Reems,9674,9852
Daisy Marie,9608,10667
Stephanie Swift,9547,10228
Michelle Maylene,9438,9535
Dick Powell,9415,9611
Brittany Andrews,9355,10094
Sola Aoi,9165,9738
Manuel Ferrara,9092,11393
Dick Van Patten,8997,8997
Gina Lynn,8978,9274
Lexington Steele,8953,9828
Joanna Angel,8938,9727
Holly Sampson,8476,8680
Puma Swede,8461,9198
Rodney Moore,8296,12716
Rico Nasty,8218,8327
Audrey Hollander,7986,8308
Erica Boyer,7941,8116
Kylie Ireland,7932,8239
Tabitha Stevens,7800,8360
Dick Smothers,7767,7767
Sydnee Steele,7719,7790
Yua Mikami,7707,10469
Linsey Dawn McKenzie,7483,8239
Viv Thomas,7482,9469
Aria Giovanni,7402,7920
Debi Diamond,7399,7891
Shauna Grant,7303,7929
Georgina Spelvin,7231,7367
Jeff Stryker,7222,7884
Ed Powers,7204,9409
Dick Wolf,7198,8315
Naked Cowboy,7029,7235
Uschi Digard,7013,7909
Chelsea Charms,6989,7945
Kitten Natividad,6975,7847
Sinnamon Love,6798,7232
Annie Sprinkle,6728,6778
Marica Hase,6698,7761
Randy Spears,6599,6862
Lezley Zen,6499,6651
Ona Zee,6447,6809
Annette Schwarz,6395,7379
Simon Rex,6208,6943
Alexis Amore,6150,6175
Dick Scobee,6053,6053
Wesley Pipes,5787,7220
Kimberly Kane,5658,5922
Bianca Beauchamp,5651,6454
Yasmin Lee,5648,7445
Pandora Peaks,5637,5966
Letha Weapons,5568,5814
Norma Stitz,5538,6010
Jeannie Pepper,5514,5927
Dyanna Lauren,5467,5768
Rebecca More,5433,5925
Tee Grizzley,5354,6704
Kimber James,5183,5658
Barbara Dare,5182,5367
Dick Warlock,5133,6070
Juli Ashton,5030,5085
Pierre Woodman,4878,7839
Anna Polina,4839,6289
Shayla LaVeaux,4839,5069
Lauren Phoenix,4666,4728
Jessica Boehrs,4620,5084
Alana Evans,4587,4813
Liza del Sierra,4562,4984
Erika Lust,4526,5185
Dick Miller,4493,4493
Lorissa McComas,4472,4628
Jamie Gillis,4466,4483
Taylor Wane,4447,4629
Gigi Gorgeous,4427,4457
Tylene Buck,4402,4787
Li Wenliang,4391,4433
Rila Fukushima,4356,4484
Nikki Tyler,4278,7800
Candida Royalle,4268,4268
Tawny Roberts,4260,4299
Nikki Charm,4249,4378
Tom Byron,4232,4503
Cytherea,4211,20317
Sunset Thomas,4197,4314
Colleen Brennan,4095,4394
Nacho Vidal,4057,5074
Karen Lancaume,3956,4035
Rebecca Bardoux,3898,4183
Lea De Mae,3842,3862
Yuma Asami,3841,4168
Rhonda Jo Petty,3682,3710
Kelly Trump,3633,3741
Angel Kelly,3626,3787
Sean Michaels,3615,5331
Taija Rae,3599,3913
Ali Alexander,3554,4403
Dick Peabody,3549,3549
Carol Connors,3528,4603
Kirsten Price,3522,5517
Shanna McCullough,3461,3741
Buck Angel,3429,3478
Porsche Lynn,3415,3485
Evan Stone,3393,3693
Rebecca Lord,3365,3616
Tsukasa Aoi,3332,4279
Kyla Cole,3304,4183
Eva Ionesco,3216,5206
Dick Stockton,3167,3167
Kira Reed,3094,4163
Michelle Thorne,3067,3349
Frank de Kova,3037,3037
Suze Randall,3012,3166
Tommy Gunn,3003,4521
Anette Dawn,2987,3173
Scott Schwartz,2946,2950
Taryn Thomas,2919,2997
Ariana Jollee,2918,2941
Mimi Miyagi,2905,3029
Chloe Jones,2892,2925
Lolo Ferrari,2888,2894
Mya Diamond,2881,2929
Uri Geller,2850,2882
Annabel Chong,2830,2838
Olivia Del Rio,2821,2882
Jiang Zemin,2815,2977
Akiho Yoshizawa,2792,2893
Misty Dawn,2772,3001
Jock Sturges,2755,3366
Rene Bond,2742,2796
Roberta Gemma,2733,3210
Lolly Adefope,2710,2710
Dick Haymes,2664,2664
Patricia Rhomberg,2663,3052
Linda Wong,2651,3569
Brian Pumper,2637,2856
Alisha Klass,2630,2659
Dasha Nekrasova,2616,2661
Giles Panton,2592,2592
Linzi Drew,2586,2623
Sharon Kane,2553,2806
Vivian Schmitt,2535,2621
Prince Yahshua,2533,3050
Jenifer,2509,74517
Dolly Buster,2509,2644
Maxi Mounds,2483,2642
Monica Mayhem,2481,2509
Marc Dorcel,2480,3200
Shelley Lubben,2423,2432
Dick Elliott,2414,2414
Monica Mattos,2342,2596
Pamela Geller,2336,2336
Poppy Morgan,2336,2336
Zack Morris,2286,3248
Kim Chambers,2232,2390
Devinn Lane,2199,2301
Madison Young,2159,2292
Moana Pozzi,2150,2299
Tina Yuzuki,2140,2197
Randy West,2106,6267
Rocco Reed,2094,2243
Erin Brown,2084,2144
Empedocles,2083,2131
Lukas Ridgeston,2064,2078
Calli Cox,2057,2057
Nicki Hunter,2053,2053
Karin Schubert,2048,2131
Ilona Staller,2036,2041
Lynn LeMay,1985,2046
Erik Everhard,1980,2000
Alexandra Silk,1979,2080
Armond Rizzo,1967,2311
Robin Byrd,1952,1952
Tyra Misoux,1946,1988
Kristen Bjorn,1931,1981
Cathy Barry,1898,1939
Christian XXX,1882,1942
Bobbi Eden,1882,1882
Zack Hample,1858,1858
Buck Adams,1843,1859
Giles Corey,1819,2489
Tricia Devereaux,1817,1817
Eric Edwards,1813,2009
Mia Magma,1790,2135
Hannah Claydon,1787,1887
Michelle Bauer,1773,1890
Jho Low,1752,1752
Jiz Lee,1749,1749
Sophie Evans,1733,2119
Allanah Starr,1729,1757
Justin Slayer,1708,2015
Nancy Giles,1699,1699
Aino Kishi,1690,1696
Yasmine Lafitte,1672,1677
Bridget Powers,1655,1677
Dick Anthony Williams,1643,1643
Kristi Myst,1638,1638
Jennifer Leak,1636,1636
Zack Scott,1600,132983
Charle,1597,2141
Lola Lane,1575,1823
Eri Ishida,1575,1575
Andrew Blake,1574,1919
Karen Horney,1572,1642
Julie Meadows,1539,1567
Teresa Orlowski,1526,1572
Kyoko Fukada,1520,1520
Bodil Joensen,1514,1583
Dick Ebersol,1505,1505
Matthew Rush,1488,1594
Dick Enberg,1475,1475
Twink Caplan,1433,1433
Kelly Nichols,1422,1422
Alexandra Quinn,1389,1389
Tera Wray,1374,1374
Twinkle Khanna,1367,1765
Joey Silvera,1328,1336
Katrina Halili,1308,1394
Bruce Geller,1291,1291
Jennifer Welles,1275,1567
Sarah Smith,1271,1590
Yua Aida,1266,1282
Jun Fukuyama,1266,1266
Jason Fuchs,1259,1259
Dick Cusack,1255,1255
Herschel Savage,1237,1273
Aleska Diamond,1232,1298
Mana Sakura,1229,1279
Guo Wengui,1206,1206
Joey Stefano,1202,1203
Zara Whites,1198,1255
James Robison,1196,1378
Amy Lynn Baxter,1179,1202
Dick Turpin,1178,1178
Kelly Shibari,1156,1156
Dick Donato,1154,1219
Dick Foran,1146,1146
Arpad Miklos,1140,1170
Dick Durock,1115,1115
Fiorella Faltoyano,1108,1108
Angelica Bella,1089,1253
Suzy Mandel,1086,1086
Lilli Carati,1078,1087
Klaus Fuchs,1068,1068
Richard Reid,1065,1090
Mike Horner,1061,1435
Honoka,1060,2653
Giles Deacon,1054,1054
Iori Kogawa,1046,1216
Jodie Moore,1042,1042
Paul McCarthy,1034,1142
Felecia Angelle,1016,1016
Tabatha Cash,1002,1019
Dick Tufeld,1001,1001
Aylar Lie,1000,1105
Dick Smith,996,4595
Rin Aoki,989,1081
Jhonen Vasquez,983,983
Constance Money,982,982
Rakshit Shetty,973,973
Tatum Reed,964,964
Jo Guest,958,1159
Toni Ribas,942,942
Mario Salieri,936,1233
Jon Dough,933,933
Francis Fukuyama,929,998
Dick DeGuerin,920,920
Dasha Astafieva,917,942
Shakuntala Devi,915,1005
Dasha Zhukova,903,903
John Stagliano,891,891
Abigail Clayton,886,923
Megan Leigh,859,898
Carmen Hart,858,858
Lolita Chakrabarti,839,839
Dolly Golden,830,833
Liu Xiaobo,828,850
Dave Cummings,812,839
Zak Spears,805,805
Joseph Dalton Hooker,800,800
Lulu Devine,795,819
Anna Falchi,788,1601
Busty Heart,787,787
Jay Grdina,784,784
Wangechi Mutu,782,782
Dick Harpootlian,774,774
Zuzanna Szadkowski,764,764
Mari Possa,761,762
Kelly Jean Van Dyke,759,759
Alaska Thunderfuck,756,1206
Alina Plugaru,745,746
Danny Wylde,744,886
Domonique Simone,731,731
Keni Styles,731,731
Nick Manning,730,756
Tiger Tyson,727,2085
Melissa Harrington,726,998
Kaoru Kuroki,715,733
Frieda Inescort,695,695
General Butt Naked,693,693
Jessica Rizzo,675,785
Shota Nakajima,675,675
Laurie Smith,674,1009
Dick DeVos,673,673
Giles Coren,672,692
Donna Ewin,655,789
Sayer Ji,650,650
Ovidie,648,670
Ashley Longshore,641,641
Michaela Schaffrath,635,636
Antony Hamilton,635,635
Tania Russof,613,616
Marc Wallice,613,613
Minako Komukai,610,740
Bobby Vitale,610,610
Bong Go,609,75230
Ai Iijima,602,602
Tatianna,595,595
Rodolfo Gucci,592,636
Frank De Vol,591,591
Jessica May,588,588
Tanya Hansen,581,651
Nao Oikawa,577,577
Rod Fontana,569,759
Elizabeth Hilden,569,569
Momofuku Ando,549,549
Maria Takagi,548,553
Cressida Dick,543,624
Roberto Malone,542,621
Billy Dee,535,31894
Angelique Morgan,532,532
Bud Lee,522,522
Lee Donghae,520,520
Elly Akira,519,519
Alexis Fire,509,550
Dick Biondi,504,504
Derek de Lint,499,499
Haruka Fukuhara,489,489
Dale DaBone,487,487
Lara Roxx,466,466
Aische Pervers,462,480
Hymie Weiss,452,452
Estelle Desanges,449,449
Lisa Ann Beley,442,442
Rina Aizawa,435,435
Elena Berkova,431,431
Draghixa Laurent,426,426
Jan Smuts,426,426
Mihiro,424,1196
Molly Wood,419,419
Bryan Dick,409,409
Linn Thomas,401,401
Jazmin Chaudhry,397,400
Dick Costolo,396,621
Julia Alexandratou,395,440
May Ling Su,394,394
John Tartaglia,388,388
Sexy Cora,386,388
Laure Sainclair,385,404
Paige Summers,382,382
Misato Fukuen,375,375
Dick Pound,374,374
Kesarin Chaichalermpol,374,374
Michel Thomas,373,373
Angela Hitler,371,371
Sota Fukushi,370,370
Shigeo Tokuda,354,456
Mion Mukaichi,346,346
Parikshit Sahni,345,345
Fukuzawa Yukichi,338,338
Coralie Trinh Thi,328,328
Judy Minx,320,320
Cecilia Gessa,313,313
Dick Armey,313,313
Douglas Dick,311,311
Nikita Gross,302,319
Dick Emery,301,301
Kurt Lockwood,301,301
Maria Yumeno,300,301
Gedhun Choekyi Nyima,300,300
Dick James,298,298
Nana Asakawa,295,295
Irina Ionesco,291,291
Lolita Flores,289,289
Dick Weber,288,288
Barrett Blade,287,287
Dick Goddard,278,278
Li Hongzhi,277,277
Dick Rutan,275,275
Leena La Bianca,272,272
Anjem Choudary,252,252
Hotaru Akane,252,252
Dick Gephardt,249,249
Bunko Kanazawa,247,247
Dick Carlson,241,241
Giles Matthey,241,241
Masaharu Fukuyama,238,238
Roxxxy Andrews,238,238
Vivian Fuchs,235,235
Dick Wilson,231,1145
Otto Bauer,223,223
Akari Asahina,220,220
Bong Revilla,217,295
Samantha Giles,216,222
Aston Merrygold,216,218
Michael Ninn,214,214
David Barron Corona,212,212
Dick Purcell,210,210
Picha,208,2585
Castus,208,1002
Katalin Vad,207,207
Ana Torrent,205,205
Darby Lloyd Rains,204,204
Brian Teta,199,199
Marylin Star,199,199
Kendra Jade Rossi,198,198
Eliska Cross,194,196
Anna Ammirati,193,193
Denice Klarskov,190,190
Katja K,190,190
Kavin,177,188
Vince Vouyer,177,177
Wade Nichols,160,160
Hitomi Kobayashi,159,159
Dick Spring,151,151
Hayden Kho,150,243
Brittany CoxXx,150,150
Alban Ceray,146,146
Giovanni Verga,146,146
Lilia Cuntapay,146,146
Samir Kuntar,145,215
Mimi Macpherson,144,163
Dick Hogan,143,143
Aoi Morikawa,141,141
Miho Okasaki,139,139
Lolita Chammah,138,138
Nana Natsume,138,138
Lisa Ann Hadley,135,135
Yui Natsukawa,134,134
Anksa Kara,132,132
Katsumi Tezuka,128,128
Masanobu Fukuoka,126,126
Hebe Tien,125,125
Rehana,120,249
Vincint,119,119
Shiori Izawa,114,114
Hebe Camargo,111,111
Fred Fuchs,103,103
Jana Bach,102,103
Yuri Komuro,102,102
Brigitte Horney,101,101
Ernst Fuchs,101,101
Pushead,99,99
Natsuki Ozawa,92,92
Naomi Tani,90,90
Richard Pacheco,87,87
Alexandre Frota,86,88
Dick Crockett,86,86
Dick Carson,85,85
Nao Saejima,81,81
Bettina Le Beau,78,78
Phiravich Attachitsataporn,78,78
Dick Bruna,77,77
Carl Peter Thunberg,76,76
Kanae Kijima,72,72
Minon,70,70
Dick Schaap,69,69
Greg Centauro,69,69
Minori Chihara,67,67
Ida Nudel,65,65
Baby Pozzi,61,61
Virginie Gervais,61,61
Titi DJ,60,60
Durdana Butt,59,59
Giles Watling,58,58
Dick Beals,57,57
Li Yuanchao,57,57
Babetida Sadjo,56,56
Charlie Dick,54,54
Eri Kikuchi,54,54
Bushy Maape,53,53
Dick Bremer,52,52
Jhong Hilario,51,51
Rebiya Kadeer,51,51
Dick Jones,50,452
Mark Pedowitz,50,50
Ivana Bacik,49,52
Detox Icunt,49,49
Dick Assman,49,49
Pansy Ho,49,49
Rika Hoshimi,48,48
Dick Thornburgh,46,46
Lolit Solis,45,45
Deepa Sahi,44,44
Kanna Mori,43,43
Robin Ficker,41,41
Gen Fukunaga,40,78
Abdul Haq Wasiq,38,38
Dick Beardsley,36,60
Reina Tanaka,36,36
Chai Ling,35,35
