,"Micronesia, Federated States of (FM)",Marshall Islands (MH),Palau (PW),American Samoa (AS),United States Minor Outlying Islands (UM),Palestinian Territories (PS),Somalia (SO),South Georgia and the South Sandwich Islands (GS),Bouvet Island (BV),Heard Island and the McDonald Islands (HM),Kosovo (XK),Isle of Man (IM),Guernsey (GG),Jersey (JE),Congo (CG),"Bonaire, Saint Eustatius and Saba (BQ)",Saint Barthelemy (BL),Saint Martin (MF),Sint Maarten (SX),Curaçao (CW),French Southern Territories (TF),Saint Pierre and Miquelon (PM),Aland Islands (AX),Timor-leste (TL),Equatorial Guinea (GQ),"Saint Helena, Ascension and Tristan da Cunha (SH)",Christmas Island (CX),Ukraine (UA),Singapore (SG),Australia (AU),Brazil (BR),Trinidad and Tobago (TT),Panama (PA),Venezuela (VE),Uruguay (UY),Costa Rica (CR),Chile (CL),Malaysia (MY),Thailand (TH),Germany (DE),Bhutan (BT),Nepal (NP),Aruba (AW),Wallis and Futuna (WF),French Polynesia (PF),New Caledonia (NC),French Guiana (GF),Martinique (MQ),Guadeloupe (GP),Reunion (RE),Mayotte (YT),Macao (MO),Iceland (IS),Serbia (RS),San Marino (SM),Holy See (VA),Gibraltar (GI),Liechtenstein (LI),Monaco (MC),Norway (NO),Sri Lanka (LK),United Kingdom (GB),Cyprus (CY),Belgium (BE),Austria (AT),Bulgaria (BG),Croatia (HR),Finland (FI),Denmark (DK),Italy (IT),Luxembourg (LU),Malta (MT),Lithuania (LT),Latvia (LV),Romania (RO),Slovakia (SK),Slovenia (SI),Estonia (EE),Poland (PL),Portugal (PT),Netherlands (NL),France (FR),Ireland (IE),Czech Republic (CZ),Hungary (HU),Sweden (SE),Japan (JP),Spain (ES),Greece (GR),Lao People's Democratic Republic (LA),Mongolia (MN),Montenegro (ME),Georgia (GE),"Macedonia, The Former Yugoslav Republic of (MK)",Greenland (GL),Vietnam (VN),Cambodia (KH),Barbados (BB),Bermuda (BM),Bolivia (BO),Albania (AL),Andorra (AD),Bosnia and Herzegovina (BA),Fiji (FJ),Peru (PE),"Tanzania, United Republic of (TZ)",Zimbabwe (ZW),Mauritius (MU),Namibia (NA),Ghana (GH),Morocco (MA),Colombia (CO),Israel (IL),Argentina (AR),Uzbekistan (UZ),Solomon Islands (SB),Tonga (TO),Tuvalu (TV),Samoa (WS),Nauru (NR),Vanuatu (VU),Kiribati (KI),Niue (NU),Cook Islands (CK),"Moldova, Republic of (MD)",Saint Vincent and the Grenadines (VC),Guatemala (GT),Honduras (HN),Montserrat (MS),Saint Kitts and Nevis (KN),Netherlands Antilles (AN),Cayman Islands (KY),Anguilla (AI),Antigua and Barbuda (AG),Falkland Islands (Malvinas) (FK),Paraguay (PY),Suriname (SR),Guyana (GY),Azerbaijan (AZ),Armenia (AM),Pakistan (PK),Bangladesh (BD),Faroe Islands (FO),Kyrgyzstan (KG),Turkmenistan (TM),Tajikistan (TJ),Tunisia (TN),Mali (ML),Lesotho (LS),Sao Tome and Principe (ST),Niger (NE),Swaziland (SZ),Sierra Leone (SL),Togo (TG),Senegal (SN),Cameroon (CM),Chad (TD),"Congo, The Democratic Republic of the (CD)",Central African Republic (CF),Gabon (GA),Liberia (LR),Mauritania (MR),Guinea (GN),"Gambia, The (GM)",Guinea-Bissau (GW),Benin (BJ),Burkina Faso (BF),Cape Verde (CV),Algeria (DZ),Angola (AO),Cote D'ivoire (CI),Libya (LY),Botswana (BW),Malawi (MW),Uganda (UG),Mozambique (MZ),Madagascar (MG),Eritrea (ER),Comoros (KM),Burundi (BI),Ethiopia (ET),Rwanda (RW),"Bahamas, The (BS)",Dominica (DM),El Salvador (SV),Belize (BZ),Haiti (HT),Dominican Republic (DO),Grenada (GD),"Virgin Islands, British (VG)",Turks and Caicos Islands (TC),Saint Lucia (LC),Nicaragua (NI),Afghanistan (AF),Yemen (YE),Western Sahara (EH),British Indian Ocean Territory (IO),Svalbard and Jan Mayen (SJ),Tokelau (TK),Pitcairn (PN),Cocos (Keeling) Islands (CC),Norfolk Island (NF),Djibouti (DJ),Turkey (TR),Mexico (MX),Switzerland (CH),Myanmar (MM),Iraq (IQ),Kenya (KE),Ecuador (EC),Nigeria (NG),South Africa (ZA),Jamaica (JM),Kazakhstan (KZ),New Zealand (NZ),Republic of Korea (KR),Hong Kong (HK),Indonesia (ID),Philippines (PH),Taiwan (TW),Canada (CA),India (IN),China (CN),Egypt (EG),Jordan (JO),Bahrain (BH),Kuwait (KW),Oman (OM),Qatar (QA),Papua New Guinea (PG),Maldives (MV),Lebanon (LB),Zambia (ZM),Seychelles (SC),Brunei Darussalam (BN),Saudi Arabia (SA),United Arab Emirates (AE),Belarus (BY),Russian Federation (RU)
2723466256 [Books › ... › British & Irish]: One piece - Tome 48 (Shônen): EIICHIRO ODA: 9782723466257: Amazon.com: Books,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5
B094JSXWHZ : JOOLA Table Tennis Bat Carbon X Pro ITTF Approved Professional Competition Ping Pong Racket Black/Grey 2.0 MM Sponge,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"B00J0MBGHU [Sports & Outdoors › ... › Tent Tarps]: Amazon.com: Brunner Sidewall Set for Gazebo Medusa 4mt. : Patio, Lawn & Garden",0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.75,0.75,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75
"B08L66TXHK : Amazon.com: Sistema KLIP IT PLUS Food Storage Container | 2.2 Litre Leak-Proof, Stackable & Airtight Fridge/Freezer Food Boxes | BPA-Free Plastic | Recyclable with TerraCycle® | 1 Count: Home & Kitche...",0.5,0.5,0.5,0.0,0.0,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5
"B0861TV6VX : Amazon.com: OZIVA Plant Based Hair Vitamins | Hair Vitamins for Hair Growth & Better Hair Health (with Omega-3, Biotin & Vitamin E for Hair), Certified Clean & Vegan, 60 Capsules : Beauty & Personal C...",0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.75,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,1.0
B00JE2G7NY [Grocery & Gourmet Food › ... › Chicken Soups]: Amazon.com : Quoc Viet Foods Chicken Flavored Pho Soup Base 10 oz Cot Pho Ga Brand : Grocery & Gourmet Food,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5
"153965172X [Books › ... › Genre Fiction]: Glyphotech and Other Macabre Processes: Samuels, Mark: 9781539651727: Amazon.com: Books",0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5
"B014M9M3K4 : Amazon.com : Fiskars 751210-1002 Garden IsoCore 5 lb Pick, 36 Inch, Orange/Black : Patio, Lawn & Garden",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.75,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.5
B01LN83F6S : Amazon.com : Viaggio Flex 120 - Booster Car Seat - for Children from 40 to 120 lbs - Made in Italy - Crystal Black (Black) : Baby,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.75,0.75,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5
B07MC49HY4 : Amazon.com: Peg Perego Booklet 50 Travel System - Includes Booklet 50 Baby Stroller and The Primo Viaggio 4-35 Infant Car Seat - Made in Italy - Mon Amour (Beige & Pink) : Everything Else,0.75,0.75,0.75,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
"B07ZPLQ87L : Amazon.com: Dickie - Hello Kitty Avión con figuras, apertura de techo, incluye 3 figuras y 20 accesorios (Dickie 253248000) : Everything Else",0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
