a-hole,a****e
skitont,s*****t
skitpappa,s*******a
skitprat,s******t
skitprogrammet,s************t
skitprylar,s********r
skitroliga,s********a
skitroligt,s********t
skitsäsong,s********g
skitsak,s*****k
skitsaker,s*******r
skitsida,s******a
skitskyttar,s*********r
skitsmarta,s********a
skitsnackare,s**********e
skitsnacksmejl,s************l
skitsnygg,s*******g
skitsnygga,s********a
skitställe,s********e
skitstövel,s********l
skitstöveln,s*********n
skitstövlar,s*********r
skitstövlarna,s***********a
skitstark,s*******k
skitstressad,s**********d
skitsura,s******a
skitsvårt,s*******t
skitsystem,s********m
skittaskig,s********g
skittaskiga,s*********a
skittjock,s*******k
skitträff,s*******f
skittråkig,s********g
skittråkigt,s*********t
skittufft,s*******t
skitviktig,s********g
skitviktigt,s*********t
skitvillkor,s*********r
slampa,s****a
slyna,s***a
slyngel,s*****l
småjävlig,s*******g
snorunge,s******e
spaggarna,s*******a
spagge,s****e
spermaharen,s*********n
stockholmsjävlar,s**************r
stridspittar,s**********r
svarting,s******g
svartingar,s********r
svartingarna,s**********a
svartingen,s*******n
svartskallar,s**********r
svartskallarna,s************a
svartskalle,s*********e
svennehora,s********a
tölp,t**p
tamejfan,t******n
tattare,t*****e
tattarjänta,t*********a
tattarna,t******a
tjackhora,t*******a
tjackluder,t********r
tjockis,t*****s
vibrationslösfitta,v****************a
vildknull,v*******l
zigenare,z******e
zigenarstuk,z*********k
