agyonbassza,a*********a
szétbaszott,s*********t
szétkúrni,s*******i
szétkúrták,s********k
szófosásba,s********a
szófosásból,s*********l
szófosást,s*******t
tehénszar,t*******r
teleszarnak,t*********k
valag,v***g
valaga,v****a
valagunkba,v********a
valagát,v*****t
valagával,v*******l
álbuzikat,á*******t
ánusza,á****a
átbasz,á****z
átbaszarintva,á***********a
átbaszni,á******i
átbaszott,á*******t
átbaszta,á******a
átbaszás,á******s
átkúrták,á******k
összehugyoz,ö*********z
összeokádott,ö**********t
összeszarja,ö*********a
