chuj,c**j
popierdzielania,p*************a
popierdzielone,p************e
poruchał,p******ł
poruchamy,p*******y
posrańcami,p********i
posracie,p******e
posrali,p*****i
posraną,p*****ą
posrana,p*****a
posranego,p*******o
posrani,p*****i
posraniec,p*******c
posrany,p*****y
posranych,p*******h
posrasz,p*****z
posrywający,p*********y
przejeb,p*****b
przejebać,p*******ć
przejebane,p********e
przesrane,p*******e
przesrany,p*******y
przyjebali,p********i
przypieprzajmy,p************y
przypierdalać,p***********ć
przypierdol,p*********l
przypierdolić,p***********ć
przypierdolił,p***********ł
rozdupcył,r*******ł
rozjebał,r******ł
rozjebania,r********a
rozpieprzy,r********y
rozpieprzyli,r**********i
rozpierdolę,r*********ę
rucha,r***a
ruchać,r****ć
ruchałem,r******m
ruchało,r*****o
ruchacz,r*****z
ruchali,r*****i
rucham,r****m
ruchania,r******a
ruchanie,r******e
ruchasz,r*****z
skurwi,s****i
skurwił,s*****ł
skurwieni,s*******i
skurwysyn,s*******n
skurwysynów,s*********w
skurwysyna,s********a
skurwysynami,s**********i
skurwysynem,s*********m
skurwysynie,s*********e
skurwysynom,s*********m
skurwysynu,s********u
skurwysyny,s********y
spieprzaj,s*******j
spierdala,s*******a
spierdalaj,s********j
spierdalaliście,s*************e
spierdol,s******l
spierdział,s********ł
spierdzielaj,s**********j
sra,s*a
srać,s**ć
srał,s**ł
sracie,s****e
sracz,s***z
sracza,s****a
sraczach,s******h
sraczce,s*****e
sracze,s****e
sraczy,s****y
srają,s***ą
srające,s*****e
srający,s*****y
srających,s*******h
srajtaśma,s*******a
srak,s**k
srakę,s***ę
sraki,s***i
srali,s***i
sram,s**m
sranego,s*****o
srania,s****a
sranie,s****e
sraniem,s*****m
srasz,s***z
szczą,s***ą
szczące,s*****e
szcza,s***a
szczać,s****ć
szczał,s****ł
szczała,s*****a
szczam,s****m
szczanie,s******e
szczochów,s*******w
szczochach,s********h
szczy,s***y
upierdolony,u*********y
wjebał,w****ł
wjebany,w*****y
wkurw,w***w
wkurwić,w*****ć
wkurwiłem,w*******m
wkurwia,w*****a
wkurwiacie,w********e
wkurwiającego,w***********o
wkurwiali,w*******i
wkurwiam,w******m
wkurwienie,w********e
wkurwili,w******i
wkurwionego,w*********o
wkurwiony,w*******y
wpieprzają,w********ą
wpieprzyć,w*******ć
wpieprzył,w*******ł
wpierdala,w*******a
wpierdalają,w*********ą
wpierdol,w******l
wpierdziela,w*********a
wpierdzieli,w*********i
wpiernicz,w*******z
wydymać,w*****ć
wydymana,w******a
wydymanie,w*******e
wydymaniu,w*******u
wydymany,w******y
wyjebać,w*****ć
wyjebane,w******e
wypieprza,w*******a
wypieprzeniu,w**********u
wypieprzyć,w********ć
wypierdalać,w*********ć
wypierdalaj,w*********j
wypierdalam,w*********m
wypierdalania,w***********a
wypierdol,w*******l
wypierdolił,w*********ł
wypierdolili,w**********i
wypierdolona,w**********a
wypierdzielone,w************e
wyrucha,w*****a
wyruchał,w******ł
wyruchałby,w********y
wyruchali,w*******i
wyrucham,w******m
wyruchana,w*******a
wysrać,w****ć
zajeb,z***b
zajebać,z*****ć
zajebał,z*****ł
zajebałem,z*******m
zajebiście,z********e
zajebiesz,z*******z
zajebista,z*******a
zajebiste,z*******e
zajebistego,z*********o
zajebistość,z*********ć
zajebisty,z*******y
zajebistym,z********m
zapieprza,z*******a
zapieprzać,z********ć
zapieprzają,z*********ą
zapieprzasz,z*********z
zapierdala,z********a
zapierdalaj,z*********j
zapierdol,z*******l
zapierdoli,z********i
zapierdziel,z*********l
zapierdzielać,z***********ć
zapierdzielaj,z***********j
zapierniczać,z**********ć
zasra,z***a
zasrańca,z******a
zasrańce,z******e
zasrańcom,z*******m
zasrańcu,z******u
zasraną,z*****ą
zasrane,z*****e
zasranego,z*******o
zasranej,z******j
zasrani,z*****i
zasrany,z*****y
zasranych,z*******h
zasranymi,z*******i
zesrał,z****ł
zesrała,z*****a
zesrałbyś,z*******ś
zesrało,z*****o
zesrały,z*****y
zesrają,z*****ą
zesrali,z*****i
zesrasz,z*****z
zjeb,z**b
zjebany,z*****y
zjebie,z****e
