apeshit,a*****t
fags,f*gs
fuck,f**k
fuck's,f***'s
fuckable,f******e
fucked,f***ed
fucker,f***er
fuckers,f***ers
fuckface,f******e
fuckface's,f*******'s
fuckfaces,f******es
fuckfaces',f********'
fuckin,f****n
fucking,f***ing
fucks,f**ks
fucks',f****'
fuckwad,f*****d
gangbang,g******g
gangbang's,g*******'s
gangbanger,g*******er
gangbanger's,g*********'s
gangbangers,g*******ers
gangbangers',g**********'
gangbangs,g******gs
gangbangs',g********'
goddam,g****m
goddammit,g*******t
goddamn,g*****n
goddamned,g******ed
goddamnit,g*******t
gook,g**k
gook's,g***'s
gooks,g**ks
gooks',g****'
gringo,g****o
gringos,g****os
handjob,h*****b
handjob's,h******'s
handjobs,h*****bs
handjobs',h*******'
homo's,h***'s
homos,h**os
homos',h****'
honkies,h****es
honky's,h****'s
horseshit,h*******t
horseshit's,h********'s
horseshits,h*******ts
hymie,h***e
hymie's,h****'s
hymies,h***es
hymies',h*****'
injun,i***n
injun's,i****'s
injuns,i***ns
injuns',i*****'
jap,j*p
jap's,j**'s
japs,j*ps
japs',j***'
jerkoff,j*****f
jerkoff's,j******'s
jerkoffs,j*****fs
jerkoffs',j*******'
jizz,j**z
kaffir,k****r
kaffir's,k*****'s
kaffirs,k****rs
kaffirs',k******'
kike,k**e
kike's,k***'s
kikes,k**es
kikes',k****'
kraut,k***t
krauts,k***ts
lesbo,l***o
lesbo's,l****'s
lesbos,l***os
lesbos',l*****'
mindfuck,m******k
mindfuck's,m*******'s
mindfucked,m*******ed
mindfucker,m*******er
mindfucker's,m*********'s
mindfuckers,m*******ers
mindfuckers',m**********'
mindfucking,m*******ing
mindfucks,m******ks
mindfucks',m********'
mofo,m**o
mother fucker,m*********er
motherfuck,m********k
motherfuck's,m*********'s
motherfucked,m*********ed
motherfucker,m*********er
motherfucker's,m***********'s
motherfuckers,m*********ers
motherfuckers',m************'
motherfucking,m*********ing
motherfucks,m********ks
motherfucks',m**********'
nigga,n***a
nigger,n***er
nigger's,n*****'s
niggers,n***ers
niggers',n******'
paki,p**i
paki's,p***'s
pakis,p**is
pakis',p****'
penes,p***s
penis,p***s
penises,p******
pussies,p****es
pussies',p******'
pussy,p***y
pussy's,p****'s
queerfucker,q*********r
queerfucker's,q***********s
queerfuckers,q**********s
queerfuckers',q***********'
raghead,r*****d
raghead's,r******'s
ragheads,r*****ds
ragheads',r*******'
rimjob,r****b
rimjob's,r*****'s
rimjobs,r****bs
rimjobs',r******'
sambo,s***o
sambo's,s****'s
sambos,s***os
sambos',s*****'
shat,s**t
shit,s**t
shit's,s***'s
shitface,s******e
shitfaced,s******ed
shitfucker,s********r
shitfucker's,s**********s
shitfuckers,s*********s
shitfuckers',s**********'
shithead,s******d
shithole,s******e
shitholes,s******es
shitless,s*****ss
shitload,s******d
shitload's,s*******'s
shitloads,s******ds
shitloads',s********'
shits,s**ts
shits',s****'
shitstorm,s*******m
shitstorm's,s********'s
shitstorms,s*******ms
shitstorms',s*********'
shitted,s****ed
shitter,s****er
shitter's,s******'s
shitters,s****ers
shitters',s*******'
shittier,s*****er
shittiest,s*******t
shitting,s****ing
shitty,s****y
slut,s**t
sluts,s***s
spic,s**c
spic's,s***'s
spics,s**cs
spics',s****'
suck my dick,s**********k
thot,t**t
thot's,t**t's
thots,t**ts
thots',t**ts'
twat,t**t
twat's,t***'s
twats,t**ts
twats',t****'
unfuck,u****k
unfucked,u******d
unfucking,u*******g
vag,v*g
vags,v*gs
wank,w**k
wanked,w***ed
wanker,w***er
wanker's,w*****'s
wankers,w***ers
wankers',w******'
wanking,w***ing
wanks,w**ks
wetback,w*****k
wetback's,w******'s
wetbacks,w*****ks
wetbacks',w*******'
whitey's,w*****'s
whiteys,w****ys
whop,w**p
whops,w**ps
whore,w**re
wop's,w**'s
wops,w*ps
wops',w***'
