Client,word,machine_translation,human_translation,theme,category,description,earliest event type,earliest event date,latest event type,latest event date
YY,撑粤语,Support Cantonese,Support Cantonese,Event,Support Cantonese Movement ,"Southern Chinese province Guangdong’s official broadcaster guangdong TV was reported to plan to quietly switch most of its programming from Cantonese to Mandarin on September 1, 2015. The news sparked a round of criticism among Cantonese speakers in Guangzhou city. The “Hold Up Cantonese Movement” (撑粤语/chēng yuèyǔ) initially started in July 2010 when the Chinese People’s Political Consultative Conference Guangzhou Committee proposed increasing Mandarin programming on Guangzhou Television’s main and news channels. As Hong Kong is also a Cantonese-speaking city, some has also linked preserving the language to preserving “Hong Kong identities”. 
",first_seen,2015-06-01,last_seen,2016-09-09
YY,办警察证QQ,Office police certificate QQ,,Social,Illicit goods and services / Trafficking of illicit goods and services,,first_seen,2015-06-01,del,2015-06-03
YY,警官证办理QQ,Jing Guanzheng handle QQ,,Social,Illicit goods and services / Trafficking of illicit goods and services,,first_seen,2015-06-01,del,2015-06-03
YY,文凭代办QQ,Diploma agent QQ,,Social,Illicit goods and services / Trafficking of illicit goods and services,,first_seen,2015-06-01,del,2015-06-03
YY,001-416 -361 -9895,,,political ,falun gong,"A hotline set up by Falun Gong group for people to ""quit the CCP"". http://www.minghui.org/mh/articles/2008/6/21/180645p.html",first_seen,2015-06-01,del,2015-06-03
YY,001 -888 -892 -8757,,,political ,falun gong,"A hotline set up by Falun Gong group for people to ""quit the CCP"". http://www.minghui.org/mh/articles/2008/6/21/180645p.html",first_seen,2015-06-01,del,2015-06-03
YY,1 -888 -892 -8757,,,political ,falun gong,"A hotline set up by Falun Gong group for people to ""quit the CCP"". http://www.minghui.org/mh/articles/2008/6/21/180645p.html",first_seen,2015-06-01,del,2015-06-03
YY,高价转让奥运门票,High transfer Olympic tickets,,Social,Illicit goods and services / Trafficking of illicit goods and services,,first_seen,2015-06-01,del,2015-06-03
YY,占领中南海和中央电视台,Occupation Zhongnanhai and CCTV,,Event,Occupy movement,,first_seen,2015-06-01,del,2015-06-03
YY,文凭代办网,Diploma agency network,,Social,Illicit goods and services / Trafficking of illicit goods and services,,first_seen,2015-06-01,del,2015-06-03
YY,001-510 -372 -0176,,,political ,falun gong,"A hotline set up by Falun Gong group for people to ""quit the CCP"". http://tuidang.epochtimes.com/",first_seen,2015-06-01,del,2015-06-03
YY,001-866-697-6570,,,political ,falun gong,"A hotline set up by Falun Gong group for people to ""quit the CCP"". http://www.minghui.org/mh/articles/2008/6/21/180645p.html",first_seen,2015-06-01,del,2015-06-03
YY,702 -873 -1734,,,political ,falun gong,"A hotline set up by Falun Gong group for people to ""quit the CCP"". http://tuidang.epochtimes.com/index/querybyid",first_seen,2015-06-01,del,2015-06-03
YY,001 -626 -457 -8037,,,political ,falun gong,"A hotline set up by Falun Gong group for people to ""quit the CCP"".  http://www.minghui.org/mh/articles/2008/7/27/182757.html",first_seen,2015-06-01,del,2015-06-03
YY,www.funp.net/648254,Www.funp.net/648254,,technology,url,file download; description leads to msg board https://webcache.googleusercontent.com/search?q=cache:Qea4Wg2I6j0J:bbs.wgun.net/space-uid-2236875.html+&cd=1&hl=en&ct=clnk&gl=us,add,2015-06-03,last_seen,2016-09-09
YY,Freegate one,Freegate one,,technology,circumvention,,add,2015-06-03,last_seen,2016-09-09
YY,ThreeWithdrawals,ThreeWithdrawals,,political ,falun gong,"Reference to the ""Tuidang Movement"" initiated by Falun Gong in late 2004. The movement advocates people to ""withdraw from the (Communist) Party, withdraw from the (Communist Youth) League, and withdraw from (Young) Pioneers."" https://zh.wikipedia.org/wiki/%E4%B8%89%E9%80%80",add,2015-06-03,last_seen,2016-09-09
YY,真相画刊,Truth Illustrated,,political ,falun gong,,add,2015-06-03,last_seen,2016-09-09
YY,Zhenxianghuakan,Zhenxianghuakan,,political ,falun gong,,add,2015-06-03,last_seen,2016-09-09
YY,占领中南海,Occupied Zhongnanhai,Occupy Zhongnanhai,Event,Occupy movement,"A number of ""Occupy"" phrases have reportedly been censored on Chinese Internet since the 2011 Occupy Wall Street Movement. http://chinadigitaltimes.net/chinese/2011/10/%E6%95%8F%E6%84%9F%E8%AF%8D%E5%BA%93%EF%BD%9C%E6%96%B0%E6%B5%AA%E5%BE%AE%E5%8D%9A%E6%90%9C%E7%B4%A2%E7%A6%81%E8%AF%8D%EF%BC%9A%E2%80%9C%E5%8D%A0%E9%A2%86%E7%B3%BB%E5%88%97%E2%80%9D-2011-10-20/",add,2015-06-03,last_seen,2016-09-09
YY,淫秽电影在线,Pornographic movies online,,Social,Prurient,,add,2015-06-03,last_seen,2016-09-09
YY,同性恋服务,Gay Service,,Social,Prurient,,add,2015-06-03,last_seen,2016-09-09
YY,文凭代办,Diploma agency,,Social,Illicit goods and services / Trafficking of illicit goods and services,,add,2015-06-03,last_seen,2016-09-09
YY,警官证办理,Jing Guanzheng handle,,Social,Illicit goods and services / Trafficking of illicit goods and services,,add,2015-06-03,last_seen,2016-09-09
YY,办警察证,Do police certificate,,Social,Illicit goods and services / Trafficking of illicit goods and services,,add,2015-06-03,last_seen,2016-09-09
YY,办警官证,Do Jing Guanzheng,,Social,Illicit goods and services / Trafficking of illicit goods and services,,add,2015-06-03,last_seen,2016-09-09
YY,伊斯兰祈祷团,Jemaah Islamiyah,,political ,terrorism,,add,2015-06-05,last_seen,2016-09-09
YY,伊斯兰圣战,Islamic Jihad,,political ,terrorism,,add,2015-06-05,last_seen,2016-09-09
YY,新疆恐怖组织,Xinjiang terrorist organization,,political ,terrorism,,add,2015-06-05,last_seen,2016-09-09
YY,新疆恐怖份子,Xinjiang terrorists,,political ,terrorism,,add,2015-06-05,last_seen,2016-09-09
YY,新疆恐怖分子,Xinjiang terrorists,,political ,terrorism,,add,2015-06-05,last_seen,2016-09-09
9158,新疆恐怖分子,Xinjiang terrorists,,political ,terrorism,,del,2015-05-05,last_seen,2016-07-12
YY,催情香水,Aphrodisiac perfume,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,逼毛,Forced Mao,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,B毛,B Gross,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,成人视频,Adult Video,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
9158,成人视频,Adult Video,,Social,Prurient,,del,2015-05-05,last_seen,2016-07-12
YY,成人电影,Adult Movies,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,插B,Insert B,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
Sina Show,插B,Insert B,,Social,Prurient,,first_seen,2015-08-30,last_seen,2016-07-12
YY,插逼,Insert force,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,乳子,Milk child,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,舔B,Lick B,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,舔逼,Lick force,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,性交,Hardcore,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
9158,性交,Hardcore,,Social,Prurient,,del,2015-05-05,last_seen,2016-07-12
Sina Show,性交,Hardcore,,Social,Prurient,,first_seen,2015-08-30,last_seen,2016-07-12
YY,乳交,Tit,,Social,Prurient,,first_seen,2015-06-01,last_seen,2016-09-09
YY,摸奶,Touch milk,,Social,Prurient,,first_seen,2015-06-01,last_seen,2016-09-09
Sina Show,摸奶,Touch milk,,Social,Prurient,,first_seen,2015-08-30,last_seen,2016-07-12
YY,轮奸,Gang rape,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,B喷水,B water,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,逼喷水,Forced water,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,壮阳药,Aphrodisiac,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,视屏脱衣,Screen strip,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,左爱艹b,Left love Lv b,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,黄色歪1,Yellow crooked 1,,Social,Prurient,,add,2015-06-05,del,2015-06-08
YY,想看秀的,To see the show,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,插入骚穴,Insert Saoxue,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,最新源码看片,Latest source to see the film,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,看漺片去,Kanshuangpianqu,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,大秀Q群,Big show Q group,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,堵红包,Block red,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,赌红包,Bet red,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,点击群视频进入,Click on the video to enter the group,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,看大秀,See the big show,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,走私群,Smuggling group,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,文爱群,File Aiqun,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,BB喷水,BB spray,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,成人影片,Adult Video,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,东北人偷井盖,Northeast stealing manhole covers,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,河南人偷井盖,Henan stolen covers,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,看比加,Look Pekah,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,成人AV电影,Adult AV Movie,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,真人秀加,Reality TV plus,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,点看A片,A sheet point of view,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,看姐自慰,Watch sister masturbating,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,大锈日片,Large stainless sheet date,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,小妹脱衣,Young girl undressing,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,脱衣视频,Strip video,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,免费聊寂寞,Free chat lonely,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,大秀激情,Big show of passion,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,美女视频服务,Beauty Video Services,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,色男加我,Color man add me,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,女自蔚,Women from Wei,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,丝袜裸聊,Stockings nude chat,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,少妇被干片,Young woman is dry sheet,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,课聊服务,Lesson chat service,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,裸聊网站,Nude chat site,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,收费聊天,Charges Chat,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
Sina Show,收费聊天,Charges Chat,,Social,Prurient,,first_seen,2015-08-30,last_seen,2016-07-12
YY,骚妹加Q,Sao sister plus Q,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,视频裸聊,Nude video chat,,Social,Prurient,,first_seen,2015-06-01,last_seen,2016-09-09
YY,性女爽,Of female Shuang,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,加妹看脱,Plus sister to see off,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,自慰加Q,Masturbation plus Q,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,色男课聊,Color M class chat,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,网操加Q,Net operating plus Q,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,寂寞加妹妹,Lonely plus sister,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,裸妹1.对1扣扣,1. 1 buttoned naked girl,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,出售黄盘,For Sale yellow plate,,Social,Prurient,,add,2015-06-05,last_seen,2016-09-09
YY,１V１捰,1V1 Luo,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,1对1果聊,1 to 1 fruit chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,１对１粿,1 to 1 cake,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,１对１倮,1 to 1 Luo,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,1对1视频表演,1 to 1 video show,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,１对１衤果辽,1 to 1 Yi Liao fruit,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,360毛片,360 Maopian,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,av成人,Av adult,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV出售,AV Sale,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV大片,AV tracts,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV福利,AV welfare,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV加微信,AV plus micro-Letter,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV加薇信,AV Jiawei letter,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV色片,AV color film,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV网盘,AV network disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV微信,AV micro-channel,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV小视频,AV small video,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV云盘,AV cloud disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV在线,AV Online,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV专卖,AV Monopoly,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,AV资源,AV resources,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,A片Q群,A piece Q Group,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,A片电影,A feature film,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,A片加Q,A piece plus Q,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,a片扣扣,A piece buttoned,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,A片网,A piece of mesh,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,a片要的加,A sheet to the plus,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,A片在线,A piece Online,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,bb喷水,Bb water,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,Ｂ锈美乳,B rust Breasts,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,e情云盘,E emotion cloud disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,kan美乳Q,Kan Q Breasts,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,lo聊加,Lo chat plus,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,LU0聊,LU0 chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,Luo×女,Luo × female,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,luo辽,Luo Liaoning,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,ｌｕｏ钕视频,Luo neodymium video,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,L聊QQ,L QQ chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,papa网盘,Papa network disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,papa云盘,Papa cloud disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,papa芸盘,Papa Yun disc,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,QQ大秀群,QQ big show group,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,Q果聊,Q fruit chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,w部A片,W section A piece,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,yun盘Q,Yun plate Q,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,yun盘你懂的,Yun dish you know,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,爱爱视频,House of Love video,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,爱爱微信,House of Love micro-channel,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,逼逼激情,Force force of passion,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,逼逼喷水,Force force jet,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,操B自慰,Options B masturbation,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,仯妇寂寞,Miao lonely woman,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,成年人电影,Adult Movies,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,成人AV,Adult AV,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
9158,成人AV,Adult AV,,Social,Prurient,,add,2015-09-09,last_seen,2016-07-12
YY,成人黄色,Adult yellow,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,成人毛片,Adult Maopian,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,成人网盘,Adult network disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,成人网站,Adult Sites,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,成人云盘,Adult cloud disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,成人做爱,Adult sex,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,承接裸秀演艺,Undertake bare Show Performing Arts,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,出售av,For Sale av,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,出售黄片,Sale of pornographic films,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,出售黄片种子,Sale of pornographic films seed,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,打飞机看女,Planes look female,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,打飞鸡Q,Hit fly chicken Q,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大飞机Q,Large Aircraft Q,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀QQ,Big show QQ,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀YY群,Big show YY group,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀Y群,Big show Y group,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀表演,Big show performances,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀服务,Big show services,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀加q,Big show plus q,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀卖逼女,Big show of force women to sell,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀群,Big show group,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀速度进,Speed ​​into the big show,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀想看,Want to see the big show,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,大秀直播,Big show live,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,带你看有大秀,Take you to see a big show,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,单独走私,Smuggling alone,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,岛国大片,Large island,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,岛国啪啪,Island flap,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,岛国网盘,Island network disk,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,岛国想看加,Island to see plus,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,低价包射,Low packet radio,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,電影芸盘,Movie Yun disc,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,東京熱电影,Tokyo hot movie,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,東京熱電影,Tokyo hot movie,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,—薱—表演,- Dui - Performance,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,粉逼薇芯,Powder forced Wei core,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,高潮妹,Climax sister,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,高清AV,HD AV,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,给你大秀,Give you a big show,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,购买A片,Buy A piece,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,国产啪啪,Domestic pops,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,果聊Q,Fruit chat Q,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,果聊加扣,If additional deduction chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,果聊加微信,Fruit plus micro-channel chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,果聊微信,If the micro-channel chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
YY,猓聊,Guo chat,,Social,Prurient,,add,2015-06-06,last_seen,2016-09-09
