Date Tested,Keyword,Language,English Translation,Theme,Category,Group Chat ,1-1 Chat,Media Source,Article Source ,Article Publish Time
2017-07-06,刘晓波+虐待+狱中异议+堪忧,simplified Chinese,Liu Xiaobo + abuse + prison dissent + worry,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170628-刘晓波尚遭如此虐待-其他狱中异议人士堪忧,2017-06-27T18:09:51
2017-07-06,刘晓波+呼吁,simplified Chinese,Liu Xiaobo + appeal,,,Blocked,Not blocked,,http://cn.rfi.fr/中国/20170627-刘晓波想出国治疗-各界继续声援-呼吁北京尽快放人,2017-06-27T17:29:50
2017-07-06,国际间积极活动+刘晓波有望获准出国求医,simplified Chinese,International active activities + Liu Xiaobo is expected to be allowed to go abroad for medical treatment,,,Blocked,Blocked,,http://www.bbc.com/zhongwen/simp/chinese-news-40433701,2017-06-28T10:07:40
2017-07-06,艾未未谈刘晓波+理性的改革者+不尽情理,simplified Chinese,Ai Weiwei talk about Liu Xiaobo + rational reformers + unreasonable,,,Blocked,Blocked,,http://www.rfa.org/mandarin/yataibaodao/zhengzhi/dn-06282017155215.html,2017-06-28T15:55:00
2017-07-06,刘晓波+狱中生活+中共+洗刷罪责,simplified Chinese,Liu Xiaobo + prison life + CCP + wash the guilt,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170629-刘晓波狱中生活曝光高瑜指是中共妄图“洗刷罪责”,2017-06-29T03:58:57
2017-07-06,愿接纳刘晓波+提供最佳医疗,simplified Chinese,Is willing to accept Liu Xiaobo + provide the best medical care,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170628-台湾愿接纳刘晓波提供最佳医疗照顾,2017-06-28T11:09:42
2017-07-06,拒绝刘晓波出国+德美大使争取探视,simplified Chinese,Refused to Liu Xiaobo abroad + Germany and the United States ambassador for access,,,Blocked,Blocked,,http://www.dw.com/zh/北京拒绝刘晓波出国治疗-德美大使争取探视/a-39474638?maca=chi-rss-chi-all-1127-rdf,2017-06-29T08:48:00
2017-07-06,社交媒体突现+刘晓波+狱中生活,simplified Chinese,Social media sudden + Liu Xiaobo + prison life,,,Blocked,Blocked,,http://www.dw.com/zh/社交媒体突现刘晓波-狱中生活/a-39465201?maca=chi-rss-chi-all-1127-rdf,2017-06-29T02:53:00
2017-07-06,中国不准刘晓波出国接受癌症治疗,simplified Chinese,China is not allowed Liu Xiaobo abroad to accept cancer treatment,,,Blocked,Blocked,,https://cn.nytimes.com/china/20170630/liu-xiaobo-nobel-cancer-abroad/,2017-06-29T14:47:09
2017-07-06,香港记者+刘晓波,simplified Chinese,Hong Kong correspondent + Liu Xiaobo,,,Blocked,Blocked,,http://cn.rfi.fr/港澳台/20170630-香港记者大声追问何时释放刘晓波习总“听不到”转头就走,2017-06-30T04:48:59
2017-07-06,刘晓波家人+身体状况+可搭飞机出国,simplified Chinese,Liu Xiaobo family + physical condition + can take the plane to go abroad,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170630-刘晓波现在身体状况可搭飞机出国,2017-06-30T09:44:08
2017-07-06,吁放刘晓波+林郑月娥+拒向北京反映,simplified Chinese,Called Liu Xiaobo + forest Zheng Yue'e refused to reflect Beijing,,,Blocked,Blocked,,http://cn.rfi.fr/政治/20170703-数以万计港人吁放刘晓波-林郑月娥拒向北京反映,2017-07-03T03:41:09
2017-07-06,美德专家+刘晓波+医疗小组,simplified Chinese,Virtue expert + Liu Xiaobo + medical team,,,Blocked,Not blocked,,http://www.rfa.org/mandarin/Xinwen/XQL-07052017031153.html,2017-07-05T03:12:45
2017-07-06,家人和好友+收到刘晓波+病危通知,simplified Chinese,Family and friends + received Liu Xiaobo + critically ill,,,Blocked,Blocked,,http://www.bbc.com/zhongwen/simp/press-review-40518629,2017-07-06T07:33:33
2017-07-07,罕见报道+刘晓波+肝腹水恶化,simplified Chinese,Rare reports + Liu Xiaobo + liver ascites deterioration,,,Blocked,Not blocked,,http://cn.rfi.fr/中国/20170706-环时罕见透露-刘晓波肝腹水恶化,2017-07-06T10:21:05
2017-07-10,刘晓波+历尽磨难+享自由之光,simplified Chinese,Liu Xiaobo + experienced hardship + enjoy the light of freedom,,,Blocked,Not blocked,,https://cn.nytimes.com/opinion/20170709/c09kristof/,2017-07-09T22:50:58
2017-07-10,会诊+美德专家+刘晓波,simplified Chinese,Consultation + US and German experts + Liu Xiaobo,,,Blocked,Not blocked,,http://cn.rfi.fr/中国/20170709-会诊美德专家建议刘晓波到外国治疗,2017-07-09T05:22:52
2017-07-10,刘晓波+进食困难+出国治疗,simplified Chinese,Liu Xiaobo + difficulties in eating + abroad treatment,,,Blocked,Not blocked,,http://cn.rfi.fr/中国/20170708-刘晓波进食困难-美德专家提出刘想出国-中国专家称患者转运不安全,2017-07-08T10:33:36
2017-07-11,外国势力+刘晓波+政治人质,simplified Chinese,Foreign forces + Liu Xiaobo + political hostages,,,Blocked,Not blocked,,http://www.rfa.org/mandarin/Xinwen/XQL-07112017024424.html,2017-07-11T02:44:39
2017-07-13,晓波+蔡英文,simplified Chinese,Xiaobo + Tsai Ing-wen,,,Blocked,Not blocked,,http://www.rfa.org/mandarin/yataibaodao/gangtai/hcm3-07132017114858.html,2017-07-13T11:50:00
2017-07-13,晓波+去世,simplified Chinese,Xiaobo + died,,,Blocked,Blocked,,http://www.rfa.org/mandarin/duomeiti/tebiejiemu/wzy-07132017113847.html,2017-07-13T11:41:13
2017-07-13,支持者捍卫+刘晓波的精神遗产,simplified Chinese,Supporters defend + spiritual heritage of Liu Xiaobo,,,Blocked,Blocked,,https://cn.nytimes.com/china/20170712/china-liu-xiaobo-nobel-peace-prize-cancer/,2017-07-11T23:40:06
2017-07-13,晓波+走了,simplified Chinese,Xiaobo + gone,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170713-刘晓波走了-快救刘霞,2017-07-13T10:56:58
2017-07-13,指控+中国+刘晓波+病重,simplified Chinese,Accusations + China + Liu Xiaobo + seriously ill,,,Blocked,Not blocked,,http://cn.rfi.fr/中国/20170713-诺奖委员会主席安德尔森指控中国在刘晓波病重及拒绝提供更好医疗负重大责任,2017-07-13T10:36:54
2017-07-13,晓波+保外就医,simplified Chinese,Xiaobo + medical parole,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170712-刘晓波保外就医沈阳附属医院官网爆棚了吗,2017-07-12T09:58:16
2017-07-13,晓波+病亡,simplified Chinese,Xiaobo + sick,,,Blocked,Blocked,,https://www.voachinese.com/a/news-shenyang-gov-says-liu-xiaobo-died-20170713/3942765.html,2017-07-13T11:41:57
2017-07-13,和平奖得主+晓波,simplified Chinese,Peace Prize winner + Xiaobo,,,Blocked,Blocked,,https://www.voachinese.com/a/voanews-liu-xiaobo-die-20170713/3942583.html,2017-07-13T09:39:03
2017-07-13,劉曉波,traditional Chinese,Liu Xiaobo,,,Blocked,Blocked,,https://theinitium.com/article/20170713-evening-brief/,2017-07-13T05:51:00
2017-07-13,晓波+逝世,simplified Chinese,Xiaobo + death,,,Blocked,Blocked,,http://www.rfa.org/mandarin/Xinwen/a-07132017124029.html,2017-07-13T12:40:00
2017-07-13,刘晓波+死,simplified Chinese,Liu Xiaobo + dead,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170713-法国前驻京记者评刘晓波死讯：经济强国大手一挥抹去历史回音,2017-07-13T12:40:54
2017-07-13,晓波+中共,simplified Chinese,Xiaobo + CCP,,,Blocked,Blocked,,http://www.rfa.org/mandarin/Xinwen/11-07132017145943.html,2017-07-13T15:00:09
2017-07-13,软禁+刘霞,simplified Chinese,House arrest + Liu Xia,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170713-美国认为刘晓波为改善中国献出了生命-西方要求北京取消软禁刘霞,2017-07-13T13:23:53
2017-07-13,悼念+晓波,simplified Chinese,Mourning + Xiaobo,,,Blocked,Blocked,,https://www.voachinese.com/a/taiwan-liu-xiaobo-reaction-20170713/3942959.html,2017-07-13T13:53:46
2017-07-13,诺贝尔+肝癌,simplified Chinese,Nobel + liver cancer,,,Blocked,Not blocked,,http://www.rfa.org/mandarin/Xinwen/5-06262017131624.html,2017-06-26T13:16:35
2017-07-13,自由+刘霞,simplified Chinese,Freedom + Liu Xia,,,Blocked,Blocked,,http://www.rfa.org/mandarin/Xinwen/5-06262017131624.html,2017-06-26T13:16:35
2017-07-13,天安门+四君子,simplified Chinese,Tiananmen + four gentlemen,,,Blocked,Not blocked,,http://cn.rfi.fr/中国/20170626-刘晓波或肝癌晚期传正在办沈阳保外就医-官方匿声,2017-06-26T04:30:06
2017-07-13,广场+四君子,simplified Chinese,[Tiananmen] Square + four gentlemen,,,Blocked,Not blocked,,https://www.voachinese.com/a/liuxiaobo-20170626/3916816.html,2017-06-26T14:32:01
2017-07-13,四君子+中共,simplified Chinese,Four gentlemen + CCP,,,Blocked,Blocked,,https://www.voachinese.com/a/liuxiaobo-20170626/3916816.html,2017-06-26T14:32:01
2017-07-13,中共+和平奖得主,simplified Chinese,Communist Party + Peace Prize winner,,,Blocked,Blocked,,http://www.rfa.org/mandarin/yataibaodao/renquanfazhi/yl-06262017102404.html,2017-06-26T16:30:00
2017-07-13,晓波+无法领奖,simplified Chinese,Xiaobo + can not accept the award,,,Blocked,Blocked,,https://www.voachinese.com/a/liu-xiaobo-nobel-peace/3916974.html,2017-06-26T21:05:00
2017-07-13,liu+xiaobo,English,,,,Blocked,Blocked,,https://theinitium.com/article/20170627-evening-brief/,2017-06-27T06:03:00
2017-07-13,劉霞+軟禁,traditional Chinese,Liu Xia + house arrest,,,Blocked,Blocked,,https://theinitium.com/article/20170627-evening-brief/,2017-06-27T06:03:00
2017-07-13,诺贝尔+宪章,simplified Chinese,Nobel + Charter,,,Blocked,Not blocked,,https://cn.nytimes.com/china/20170628/liu-xiaobo-china-xia-nobel-cancer/,2017-06-27T17:37:04
2017-07-14,刘+晓波,simplified Chinese,Liu + Xiaobo,,,Blocked,Not blocked,,http://www.rfa.org/mandarin/duomeiti/tebiejiemu/hot-07142017122949.html,2017-07-14T13:02:53
2017-07-14,刘+死+诺贝尔,simplified Chinese,Liu + dead + Nobel,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170714-刘晓波是第二位死于囚禁中的诺贝尔和平奖得主,2017-07-13T19:56:36
2017-07-14,悼念+曉波,traditional Chinese,Mourning + Xiaobo,,,Blocked,Blocked,,https://theinitium.com/article/20170714-opinion-weiping-liuxiaobo/,2017-07-14T06:00:00
2017-07-14,劉霞+自由,traditional Chinese,Liu Xia + free,,,Blocked,Blocked,,https://theinitium.com/article/20170714-morning-brief/,2017-07-13T22:19:00
2017-07-14,刘+纪念,simplified Chinese,Liu + Memorial,,,Blocked,Not blocked,,http://www.bbc.com/zhongwen/simp/chinese-news-40604115,2017-07-14T02:10:56
2017-07-14,曉波+劉,traditional Chinese,Xiaobo + Liu,,,Blocked,Blocked,,https://news.mingpao.com/pns/dailynews/web_tc/article/20170714/s00001/1499971313112,2017-07-13T16:30:00
