Keyword,Machine translation,Human translation (if necessary),Notes,Category,Source,Source2,Source3
六四维园集会,Sixty-four Victoria Park rally,June 4 Victoria Park rally,,Tiananmen Square (June 4 1989),,,
吸金贫立刻抢,Poverty immediately attracts the gold rush,?,Are the first 3 characters a play on Xi Jinping?,Xi Jinping,,,
六四烛光晚会,Candlelight vigil,June 4 candlenight vigil,,Tiananmen Square (June 4 1989),,,
维园六四晚会,4 June vigil at Victoria Park,,,Tiananmen Square (June 4 1989),,,
毋忘64事件,Not to forget the 64 events,Never forget June 4,,Tiananmen Square (June 4 1989),,,
平反89民运,Vindication of 89 pro-democracy movement,,,Tiananmen Square (June 4 1989),,,
维园烛光晚会,Victoria Park candlelight vigil,,,Tiananmen Square (June 4 1989),,,
共产党新唐人,Communist Party NTDTV,,,Media -- International Media,,,
八九六四民运,Eight thousand nine hundred sixty-four pro,June 4 movement,,Tiananmen Square (June 4 1989),,,
六四八九民运,Six thousand four hundred eighty-nine pro,June 4 movement,,Tiananmen Square (June 4 1989),,,
彭丽媛的骚穴,Peng Liyuan Saoxue,"Peng Liyuan ""hot/sexy hole""","hot like flirty or salacious, hole as in vagina. A fictitious story featuring Xi Jinping's wife as the main character",Communist Party of China (CPC) -- Criticism,http://bbs.6park.com/bbs4/messages/63335.html,,
总理家人隐秘,Premier family secret,,"Premier being Wen Jiabao, family secret being their immense wealth revealed in NYT expose.",Wen Jiaobao family wealth scandal,,,
天安门大屠杀,Tiananmen Square Massacre,,,Tiananmen Square (June 4 1989),,,
严惩影帝家族,Punish winner family,Punish the Best Actor's family,"The ""actor"" being a reference to Wen Jiabao.",CPC member / Gov official,http://en.wikipedia.org/wiki/China's_Best_Actor:_Wen_Jiabao,,
中共活摘器官,Organ Harvesting,Communist Party organ harvesting,"Falun Gong alleges that the CCP harvests organs from members who have been persecuted, captured, and executed.",Religion -- Falun Gong,,,
糊淘淘温饱饱,Tao Tao paste full of food and clothing,"""Hu Taotao, Wen Baobao""","A critical song about Hu and Wen, patterned as a nursery rhyme of sorts",Communist Party of China (CPC) -- Criticism,http://www.boxun.com/forum/201012/boxun2010/158119.shtml,,
习家军班底啦,Xi team of military and civilian friends,,Allegations of patronage by Xi in appointing military officers and such.,Corruption Scandals,http://big5.backchina.com/news/2013/10/18/266834.html,,
六四独光晚会,Sixty-four unique light show,"June 4 independence ""light show""","""light show"" probably the candles which are held aloft during the vigil in Hong Kong",Tiananmen Square (June 4 1989),,,
六四游行,Sixty-four Parade,June 4 parade,,Tiananmen Square (June 4 1989),,,
平反六四,Vindication,Rehabilitate/give redress to June 4,,Tiananmen Square (June 4 1989),,,
中共镇压藏民,Chinese Communist repression of Tibetan,Chinese Communist repression of Tibetans,,Ethnic Groups -- Tibetan,,,
温鸡巴经常哭,Wen Cock often cry,Dick Wen cries everyday,"鸡巴 = penis, but here probably an insulting nickname for Wen Jiabao as opposed to referring to his actual anatomy.",CPC member / Gov official,,,
六四学生死了,Sixty-four student died,June 4 students died,,Tiananmen Square (June 4 1989),,,
许家屯回忆录,Xu Jiatun memoirs,,"former head of HK Xinhua, fled to US after expressing support for June 4 protesters. Was caught up in some corruption allegations, wrote a memoir in 1990 that discussed Hong Kong's history and future",Dissident / Activist,http://books.google.com/books?id=EZzq-2IW4iQC&pg=PA238&lpg=PA238&dq=xu+jiatun+june+4&source=bl&ots=Me0oOfXOnZ&sig=d7-66DXxuEiDaivc8npgbB0CcUM&hl=en&sa=X&ei=aOODUoLoJe224APFnYBA&ved=0CFsQ6AEwBw#v=onepage&q=xu%20jiatun%20june%204&f=false,http://books.google.com/books?id=ZZpCfvK3QhcC&pg=PA297&lpg=PA297&dq=xu+jiatun+memoir&source=bl&ots=9ZRT4Vux85&sig=oxjXsCfDQUYt6EnpzhO-6__JihI&hl=en&sa=X&ei=--KDUoaxEY-l4APK14HYDw&ved=0CDkQ6AEwAg#v=onepage&q=xu%20jiatun%20memoir&f=false,
香港维园六四,Hong Kong's Victoria Park sixty-four,"Hong Kong's Victoria Park, June 4",,Tiananmen Square (June 4 1989),,,
64反共产党,64 Anti- Communist,June 4 anti-communist,,Tiananmen Square (June 4 1989),,,
六四民运领袖,Sixty-four pro-democracy leader,June 4 pro-democracy leader,,Tiananmen Square (June 4 1989),,,
八九民运实录,Record June incident,the authentic record of the 1989 movement,,Tiananmen Square (June 4 1989),,,
中国太子党,Chinese princeling,,"princeling = the children of political elite, who have special privileges and been alleged to use their connections to enrich themselevs",Relatives / Associates of Government Officials,,,
六四民运,Sixty-four pro,June 4 movement,,Tiananmen Square (June 4 1989),,,
维园的烛光,Victoria Park candlelight,Hong Kong Victoria Park June 4 memorial,,Tiananmen Square (June 4 1989),,,
周永康政变,Zhou Yongkang coup,,"top Chinese politician who was closely connected to Bo Xilai; falsely rumored to be organizing a coup against Wen and Hu in order to rescue Bo. Didn't happen, and is now embroiled in corruption investigation",Zhou Yongkang,http://www.bbc.co.uk/news/world-asia-china-17476760,,
六四大事纪,Sixty-four Events,June 4 event,,Tiananmen Square (June 4 1989),,,
港支联通讯,Hong Kong Alliance in Support of Communication,Hong Kong Alliance in Support of Patriotic Democratic Movements of China,,Democracy (Chinese Democracy Movement),,,
六四二十年,Six hundred forty-two years,June 4 twentieth anniversary,,Tiananmen Square (June 4 1989),,,
六四死难者,Sixty-four victims,June 4 victims,,Tiananmen Square (June 4 1989),,,
中共网络封锁,CCP Internet blockade,,,Censorship -- Censorship / Surveillance in China,,,
中共恶势力,Chinese Communist forces,Chinese Communist evil forces,,Communist Party of China (CPC) -- Criticism,,,
消灭共产党,Elimination of the Communist Party,,,Communist Party of China (CPC) -- Criticism,,,
流氓共产党,Rogue Communist Party,,,Communist Party of China (CPC) -- Criticism,,,
审判共产党,Communist Trial,Try the Communist Party,,Communist Party of China (CPC) -- Criticism,,,
推翻共产党,Overthrow the Communist Party,,,Communist Party of China (CPC) -- Criticism,,,
中南海权斗,Zhongnanhai power struggle,,Zhongnanhai is the seat of political power for the CCP,Communist Party of China (CPC) -- General CPC,,,
共产党必亡,Communist perish,the Communist Party will fall,,Communist Party of China (CPC) -- Criticism,,,
共产党丑闻,Communist Party scandal,,,Communist Party of China (CPC) -- Criticism,,,
共产党灭亡,Demise of the Communist Party,,,Communist Party of China (CPC) -- Criticism,,,
中共的暴政,CCP's tyranny,,,Communist Party of China (CPC) -- Criticism,,,
共产党禁闻,Wen ban the Communist Party,CCP forbidden news,"A play on ""新闻"", which means news. Name of a series of reports on NTDTV",Censorship -- Censorship / Surveillance in China,,,
中共清场日记,CCP cleared diary,"CCP, the clearing [of Tiananmen Square] diary",Was reportedly issued by government in response to the Tiananmen Papers as a way to bolster the government and military's image,Tiananmen Square (June 4 1989),http://www.aboluowang.com/2009/0610/132411.html#.UoPp8Pmsim4,http://www.boxun.com/news/gb/china/2009/06/200906081112.shtml,
中共腐败内幕,CCP insider corruption,,,Communist Party of China (CPC) -- Criticism,,,
中国禁闻中共,China banned Wen CPC,"Chinese forbidden news, CCP",,Censorship -- Censorship / Surveillance in China,,,
中共网络监控,CPC Network Monitoring,CCP Internet monitoring,,Censorship -- Censorship / Surveillance in China,,,
九评共产党,Nine Commentaries on the Communist Party,,Falun Gong criticisms,Religion -- Falun Gong,http://www.theepochtimes.com/n3/3942-nine-commentaries-on-the-communist-party-introduction/,,
李旺阳,Li Wangyang,,"Dissident and activist who was found dead after giving an interview about June 4. Authorities initially claimed was sucide, but others alleged it was a possible murder. However, authorities refused to investigate and protests took place in HK.",Dissident / Activist,http://en.wikipedia.org/wiki/Death_of_Li_Wangyang,,
薄周政变,Thin weeks coup,Bo [Xilai] and Zhou [Yangkang] coup,alleged coup against Hu and Wen,Communist Party of China (CPC) -- General CPC,,,
法拉利 保福寺桥,Ferrari Paul Temple Bridge,"Ferrari, Baofu[si] Bridge",Son of Hu aide Ling Jihua crashed his ferrari in Beijing. Coverup was revealed and Ling was forced out.,Ferrari Crash (March 2012),http://cmp.hku.hk/2012/03/20/20565/,,
自由门 翻墙,Freegate wall,"Freegate, climb [the Great Fire]wall",Freegate circumvention software,Censorship ,,,
江胡斗内幕,Jiang Hu Dou Insider,"Jiang-Hu conflict, the inside story",Supposed inside scoops about conflicts between Jiang Zemin and Hu Jintao,Communist Party of China (CPC) -- General CPC,,,
权斗中共,CCP power struggle,,,Communist Party of China (CPC) -- Criticism,,,
六四事件,June incident,,,Tiananmen Square (June 4 1989),,,
北京之夏六四,Beijing Summer sixty-four,"Beijing Summer, June 4",,Tiananmen Square (June 4 1989),,,
江系人马名单,Jiang faction list,Jiang Zemin faction list of names,江系 is an alternative name for the Shanghai gang (上海帮),Communist Party of China (CPC) -- General CPC,,,
江泽民其人,Jiang Zemin and his people,,,Communist Party of China (CPC) -- General CPC,,,
一九八九 记忆的呼唤,One thousand nine hundred eighty-nine call memory,1989 rememberance and calling out of names,Refers to the reciting of victim's names in public events,Tiananmen Square (June 4 1989),,,
中共 太子党,CCP princeling,,Term used to refert to the descendants of prominent officials. ,Relatives / Associates of Government Officials,http://en.wikipedia.org/wiki/Princelings,,
六四 周舵,Sixty-four weeks rudder,"June 4, Zhou Duo",Zhou is a June 4 activist,Tiananmen Square (June 4 1989),http://edition.cnn.com/2009/WORLD/asiapcf/06/04/tiananmen.hunger.strike/,,
陆肆事件,Lusi event,June 4 event,,Tiananmen Square (June 4 1989),,,
伍凡 中共,Wu Fan CCP,,Falun Gong supporter critical of China,Religion -- Falun Gong,http://www.epochtimes.com/gb/13/10/23/n3992742.htm,,
江系人马,Jiang faction,,,Communist Party of China (CPC) -- General CPC,,,
六四天安门文件,Tiananmen file,The June 4 Tiananmen Papers,Insider documents detailing the arguments within the CCP about how to deal with the protestors; were collectd in a book called The Tiananmen Papers,Tiananmen Square (June 4 1989),http://en.wikipedia.org/wiki/The_Tiananmen_Papers,,
上访 府右街,Petition Fuyoujie,"Petition, Fuyou Street","Fuyou Street is in Beijing, where the Appeal's Office is. Was the site of a large demonstration by Falun Gong members on April 25, 1999.",Religion -- Falun Gong,http://en.minghui.org/html/articles/2012/4/3/132531p.html,http://en.wikipedia.org/wiki/Falun_Gong#Tianjin_and_Zhongnanhai_protests,
镇压 六月四日,June 4 crackdown,,,Tiananmen Square (June 4 1989),,,
丁子霖,Ding Zilin,,activist,Dissident / Activist,,,
赵紫阳 平反,Zhao Ziyang vindicated,,Zhao Ziyang was the purged former general secratary of CCP who advocated for peaceful solutions with the June 4 protesters,Tiananmen Square (June 4 1989),,,
太子党 中共,CCP princeling,,Term used to refert to the descendants of prominent officials. ,Relatives / Associates of Government Officials,http://en.wikipedia.org/wiki/Princelings,,
共产党 9ping,Communist 9ping,Communist 9 Commentaries,"the Nine Commentaries of the CCP, as published by the Falun Gong. (ping is pinyin for 评论, meaning commentary)",Religion -- Falun Gong,http://en.wikipedia.org/wiki/Tuidang_movement,,
九评 共产党,Nine Commentaries on the Communist Party,,"Nine commentaries of the CCP, as published by the Falun Gong. ",Religion -- Falun Gong,http://en.wikipedia.org/wiki/Tuidang_movement,,
9评 共产党,9 Commentaries,,"Nine commentaries of the CCP, as published by the Falun Gong. ",Religion -- Falun Gong,http://en.wikipedia.org/wiki/Tuidang_movement,,
中共封锁,CCP blockade,,"perhaps both Internet related and various ""sieges"" like in Wukan where the army attempted to blockade the offending village",Communist Party of China (CPC) -- Criticism,,,
中共暴政,CCP tyranny,,,Communist Party of China (CPC) -- Criticism,,,
盘古 共匪,Pangu Bandits,,Pangu is a punk band and Bandits (referring to Communist Bandits) is an album of theirs,Communist Party of China (CPC) -- Criticism,,,
王维林,Wang Weilin,,some suggest he might be Tank Man,Tiananmen Square (June 4 1989),,,
唐人 NTDTV,Chinese NTDTV,NTDTV,Falun Gong-supported TV station,Religion -- Falun Gong,,,
阿波罗新闻,Apollo News,aboluowang.com,Foreign website very critical of CCP,Media -- Chinese Independent / Opposition Media,,,
多维新闻,Multidimensional News,Duowei News,Overseas newspaper also sometimes critical of CCP,Media -- Chinese Independent / Opposition Media,,,
无界浏览,UltraSurf,,circumvention tool,Censorship,,,
自由门 无界,Freegate unbounded,Freegate and Ultrasurf,circumvention tool,Censorship,,,
胡温 太子党,Hu and Wen princelings,,,Relatives / Associates of Government Officials,,,
人民报动态网,De Volkskrant dynamic network,Dongtaiwang,website critical of CCP,Western Websites/Social Media,,,
天安门1989,"Tiananmen Square, 1989",,,Tiananmen Square (June 4 1989),,,
六一零 刘京,Six hundred ten Liu Jing,"610 [Office], Liu Jing",Alleged department in government that is in charge of cracking down on Falun Gong. Liu Jing (sometimes Liu Jin) was the reported head of this department,Religion -- Falun Gong,http://en.minghui.org/html/articles/2004/3/9/zip.html#45890,http://en.wikipedia.org/wiki/610_Office,http://www.epochtimes.com/gb/13/6/17/n3895635.htm
赵紫阳 日记,Zhao's diary,Zhao Ziyang's diary,refers to the diary tapes he recorded which turned into the book Prisoner of the State,CPC member / Gov official,http://en.wikipedia.org/wiki/Prisoner_of_the_State:_The_Secret_Journal_of_Premier_Zhao_Ziyang,,
退党 灭中共,Quit the CCP off,Tuidang: wipe out the CCP,movement tracking the people who have quit the Communist party,Communist Party of China (CPC) -- Criticism,,,
法轮功,Falun Gong,,,Religion -- Falun Gong,,,
温家宝 27亿,Wen Jiabao 2700000000,Wen Jiabao 2.7 biillion [dollars],How much his family allegedly has secretly hidden,Wen Jiaobao family wealth scandal,http://www.nytimes.com/2012/10/26/business/global/family-of-wen-jiabao-holds-a-hidden-fortune-in-china.html?_r=0,,
影帝温家,Actor wenjia,Best Actor Wen Jiabao,refers to book criticizing Wen Jiabao,Wen Jiabao,http://en.wikipedia.org/wiki/China's_Best_Actor:_Wen_Jiabao,,
温影帝,Wen winner,Wen [Jiabao] Best Actor,,Communist Party of China (CPC) -- Criticism,,,
64屠城,64 massacre,June 4 massacre,,Tiananmen Square (June 4 1989),,,
中南海 内幕,Zhongnanhai Insider,Zhongnanhai inside story,,Communist Party of China (CPC) -- Criticism,,,
胡江权斗,HU Jiang power struggle,Hu-Jiang power struggle,,Communist Party of China (CPC) -- General CPC,,,
中国联邦革命党,China Federation Revolutionary Party,,,Political Parties (Non-CPC),http://www.aboluowang.com/2012/0120/233112.html#.UoRVSvmsim5,,
中国茉莉花革命,Chinese Jasmine Revolution,,,Jasmine Revolution,,,
中共镇压,Chinese Communist repression,,,Communist Party of China (CPC) -- Criticism,,,
天灭中共,Days off Chinese Communist,Last days of the CCP?,天灭 is a phrase mostly only used on Falun Gong websites,Communist Party of China (CPC) -- General CPC,,,
鲍彤,Bao Tong,,former Director of the Office of Political Reform of the CPC Central Committee and the Policy Secretary of Zhao Ziyang,CPC member / Gov official,,,
六四 李锐,Sixty-four Li Rui,,retired politician of the People's Republic of China from the ruling Communist Party and latterly a writer and vocal advocate of democratic reform in China (Wikipedia),Tiananmen Square (June 4 1989),,,
黑匣子 中共,Black Box CCP,"""Black Box"", CCP",Book and movie about corruption in CCP,Corruption Scandals,,,
退党潮,Resign tide,Tuidang movement,,Communist Party of China (CPC) -- Criticism,,,
藏区自焚,Tibetan self-immolation,,,Ethnic Groups -- Tibetan,,,
维吾尔族砍人,Uighur knives to injure,Uyghurs stab people,Also on the earlier shorter list of LINE bad words,Ethnic Groups -- Uyghur,http://blockedonweibo.tumblr.com/post/65683767674/uyghurs-stab-people-wei-zu-kan,,
解救许开生,Rescue Xukai Sheng,Help Xu Kaisheng,"Military vet who is a beggar. Wrote a plea for help on behalf of other veterans and detailing the various troubles with the city he's had. Also on the list of 150 ""bad words"" that hirakujira uncovered. More here: http://blockedonweibo.tumblr.com/post/65525907975/the-chinese-keywords-on-messaging-app-lines-bad",Dissident / Activist,http://blog.boxun.com/hero/201106/voiceofveteran/26_1.shtml,http://blockedonweibo.tumblr.com/post/65525907975/the-chinese-keywords-on-messaging-app-lines-bad,
进京集访,Beijing set to visit,Go to Beijing for investivation/collect evidence?,Not sure. Maybe has to do with petitioners or other folks going to Beijing to get evidence from government for cases back home?,Petitioning (Administrative System),,,
江习不合,Jiang Xi substandard,Jiang-Xi not cooperating,About the supposed rift between Jiang and Xi,Communist Party of China (CPC) -- General CPC,,,
俞正声 公共情人,Yu Public Lover,"Yu Zhengsheng, shared mistress",notable CCP leader whose career might be derailed by allegations that he shared a misstress and corruption,Corruption Scandals,http://www.brookings.edu/about/centers/china/top-future-leaders/yu_zhengsheng,,
八九民主,1989 that,1989 democracy,,Tiananmen Square (June 4 1989),,,
中共非法,CCP illegal,,,Communist Party of China (CPC) -- Criticism,,,
陈希同亲述,Said Chen Xitong pro,"""Conversations with Chen Xitong""","Chen was Beijing politician brought down by a scandal. Previously, he was also a public gov face of the Tiananmen crackdown. Conversation with Chen Xitong is a 2012 book wherein the author quotes Chen as denying much of his involvement in the crackdown on Tiananmen, pinning the blame on others, saying he was mayor in name only and that others made the crucial decisions.",Tiananmen Square (June 4 1989),http://www.bbc.co.uk/zhongwen/simp/china/2013/06/130605_profile_chen_xitong.shtml,,
魏京生64,Wei Jingsheng 64,Wei Jingsheng June 4,dissident,Dissident / Activist,,,
陆四运动,Lu four sports,June 4 movement,,Tiananmen Square (June 4 1989),,,
李鹏日记,Li Peng Diaries,,"A book of Li Peng’s supposed diary entries entitled The Critical Moment was planned for release in 2010, but it was halted just before publication. In it, Li justifies many of his most vilified acts and emphasizes that it was a group decision to enter the square. ",Tiananmen Square (June 4 1989),http://blockedonweibo.tumblr.com/post/54104611291/every-month-bird-is-code-for-li-peng-premier-china,,
八九民运,June incident,,,Tiananmen Square (June 4 1989),,,
老江去世,Laojiangdi death,Old Jiang passed away,about the false rumors that Jiang had died,Jiang Zemin death rumour,,,
维园64,Victoria Park 64,Victoria Park June 4,,Tiananmen Square (June 4 1989),,,
游行八九,Parade eighty-nine,1989 demonstration,,Tiananmen Square (June 4 1989),,,
李源朝夫人,Ms. Li Yuanchao,Li Yuanchao's wife,"Li is VP of China. His wife, Gao Jianjin, is a professor of music at the Institute of Musicology of the Central Conservatory of Music in Beijing. Not sure what the deal with this is. Didn't find anything obviously negative, and in fact, found a very flattering profile of her in HK media",Relatives / Associates of Government Officials,http://blog.ifeng.com/article/24434964.html,,
打到共产党,Hit the Communist Party,Attack the Communist Party,,Communist Party of China (CPC) -- Criticism,,,
共产党纪元,Communist era,"Communist Party, Epoch [Times]",Preventing folks from getting access to undoubtedly critical news about the Communist Party in the Falun Gong-supported Epoch Times,Falun Gong,,,
纪元退党,Era resign,"Epoch [Times], Tuidang",,Religion -- Falun Gong,,,
镇压维人,Repression of Uighurs,,,Ethnic Groups -- Uyghur,,,
劳教所 迫害,Forced Labor Camp,,Same as keyword 653 but with a space. Falun Gong?,Religion -- Falun Gong,,,
秘件610,Secret piece 610,"Secret, 610",Refers to the 610 Department in charge of cracking down on Falun Gong,Religion -- Falun Gong,,,
王丹89,Wang Dan 89,"Wang Dan, 1989",dissident/activist,Dissident / Activist,,,
中共派系,CCP factions,,,Communist Party of China (CPC) -- General CPC,,,
胡温 新四人帮,Hu and Wen new Gang of Four,,Gang of Four was the quartet led by Mao's wife which was charged with attempting to overthrow the Communist Party,Communist Party of China (CPC) -- General CPC,,,
中共丑闻,CCP scandal,,,Corruption Scandals,,,
中共混乱,CPC confusion,,,Communist Party of China (CPC) -- Criticism,,,
中共倒台,CCP downfall,,,Communist Party of China (CPC) -- Criticism,,,
薄汪争斗,Thin Wang battle,Bo-Wang conflict,"Bo Xilai's police chief Wang Lijun fled to the Chengdu embassy, reportedly in an attempt to exchange information about Bo Xilai for asylum. He later was a witness against Bo and revealed Bo's wife's plot to kill the British naitonal Neil Heywood.",Bo Xilai Scandal,,,
北戴河内幕,Beidaihe Insider,Beidaihe behind-the-scenes story,various articles about various infighting amongst CCP,Communist Party of China (CPC) -- General CPC,http://www.bbc.co.uk/zhongwen/simp/world/2012/08/120807_jp_beidaihe_meeting.shtml,,
习胡之争,Xi Hu dispute,,,Communist Party of China (CPC) -- General CPC,,,
邓小平 政治遗嘱,Deng Xiaoping's political testament,,Something to do with his legacy or how Jiang Zemin stepped in and solidified his power as Deng declined?,CPC member / Gov official,,,
保福寺 车祸,Paul Temple accident,Baofusi traffic accident,Ling Jihua's son crashed his ferrari near Baofusi Bridge/Temple.,Ferrari Crash (March 2012),,,
习上胡下,Xishanghuxia,"Xi rise, Hu fall","The changeover in power, from Hu Jintao to Xi Jinping",Communist Party of China (CPC) -- General CPC,,,
中共太子,CCP Prince,CCP princeling,,Relatives / Associates of Government Officials,,,
李鹏八九,Li eighty-nine,Li Peng 1989,Li Peng was former premier who pushed for crackdown on Tiananmen Square protesters,CPC member / Gov official,,,
曝光中共,Exposure CCP,"Expose [a scandal], CCP",,Corruption Scandals,,,
无界新闻,Unbounded News,wujieliulan.com,"website critical of CCP, part of pro-Falun Gong network of websites",Religion -- Falun Gong,,,
六四烛光,Sixty-four candlelight,June 4 candelight,reference to the holding aloft of candles during the annueal June 4 commemoration in Hong Kong,Tiananmen Square (June 4 1989),,,
平反 法轮功,Vindication of Falun Gong,,,Religion -- Falun Gong,,,
退党中心,Resignations Center,Tuidang center,,Communist Party of China (CPC) -- Criticism,,,
大纪元,The Epoch Times,,"Newspaper/website supportive of Falun Gong, critical of CCP",Religion -- Falun Gong,,,
温家宝财产,Wen Jiabao property,,Refers to Wen family's hidden wealth story?,Wen Jiaobao family wealth scandal,,,
中共 六四,CCP sixty-four,CCP June 4,,Tiananmen Square (June 4 1989),,,
陈光诚,Chen Guangcheng,,activist,Dissident / Activist,,,
刘晓波,Liu Xiaobo,,activist,Dissident / Activist,,,
08宪章,Charter 08,,document advocating political reform in ChIna,Charter 08,,,
零八宪章,Charter 08,,,Charter 08,,,
中共残暴,CCP brutality,,,Communist Party of China (CPC) -- Criticism,,,
薄熙来 政治遗嘱,Bo Xilai political wills,,"Like the Deng Xiaoping political will keyword, perhaps to do with his legacy or the confusion in who is in power now?",Bo Xilai Scandal,,,
法拉利 保福寺,Ferrari Paul Temple,Ferrari Baofusi,Ling Jihua's son's car crash,Ferrari Crash (March 2012),,,
北京之夏 六四,Beijing Summer sixty-four,"Beijing Summer, June 4","same as row 78 above, except for space",Tiananmen Square (June 4 1989),,,
天安门 陆肆,Tiananmen Lusi,"Tiananmen, June 4",,Tiananmen Square (June 4 1989),,,
六四 天安门,Tiananmen,"June 4, Tiananmen",,Tiananmen Square (June 4 1989),,,
温云松 10亿,Wenyun Song 1000000000,"Wen Yunsong, 1 billion","Wen Yunsong, son of Wen Jiabao. Is a businessman who made headlines when his equity fund neared $1 billion.",Relatives / Associates of Government Officials,http://blockedonweibo.tumblr.com/post/14224187547/wen-yunsong-also-known-as-winston-wen-is-a,,
盘古共匪,Pangu Bandits,,same as row 98 above except this one has no space,Communist Party of China (CPC) -- Criticism,,,
六一零刘京,Six hundred ten Liu Jing,610 Liu Jing,same as row 108 above except this one has no space,Religion -- Falun Gong,,,
灭中共,Destroy the CCP,,,Communist Party of China (CPC) -- Criticism,,,
四学者建言,Four scholars suggestions,,refers to appeal that four university professors submitted on behalf of a farmer who was reportedly murdered by authorities; keyword is on the 150 bad words list uncovered by hirakujira,Dissident / Activist,http://blockedonweibo.tumblr.com/post/65571965959/panjin-open-fire-with-a-gun-panjin,,
网络封锁,Internet blockade,,,Censorship,,,
温家 戴梦得,Winchester Diamend,Wen Jiabao diamond,Reference to Wen's wife's jewelry and diamond business through which she makes so much money. Also on hirakujira list.,Relatives / Associates of Government Officials,http://blockedonweibo.tumblr.com/post/65665563388/these-seven-keywords-are-all-related-to-former,,
温家 资产,Wenjia assets,Wen Jiabao assets,Also on hirakujira list,Wen Jiaobao family wealth scandal,http://blockedonweibo.tumblr.com/post/65665563388/these-seven-keywords-are-all-related-to-former,,
许志永,Xu Zhiyong,,He was one of the founders of the NGO Open Constitution Initiative and an active rights lawyer in China who helped those underprivileged. (Wikipedia) Recently arrested over the summer amidst crackdown on activists and online celebrities.,Dissident / Activist,,,
沃尔凯西,Casey Wall,Wu'erkaixi,Likely an alternative spelling for his name (吾尔开希). Activist.,Dissident / Activist,,,
吾尔开西,I opened the West Seoul,Wu'erkaixi,Likely an alternative spelling for his name (吾尔开希). Activist.,Dissident / Activist,,,
