word,human_translation,machine_translation,clients
我们是一群华人基督徒,We are a group of Chinese Christians,We are a group of Chinese Christians,Sina UC
我的姓氏发生滑坡,My last name has a landslide (literal translation),My surname landslide,Sina UC
我的姓氏缺少偏旁,My last name is missing a radical/root,My surname is missing radical,Sina UC
录音回忆录,,Recording memoirs,Sina UC
广场是我的坟墓,[Tiananmen] Square is my grave,Square is my grave,Sina UC
广场四君子,Four Gentlemen of Tiananmen Square,Square Sijunzi,Sina UC; YY
封从德,,Feng congde,Sina UC; YY; Sina Show
妈妈我没有做错,Mother I did nothing wrong,"Mom, I did nothing wrong",Sina UC
天按门,Tiananmen (homonym),Day by the door,Sina UC
天安直是柳营,Tiananmen Square straight ahead is military camp,Cheonan straight is Liouying,Sina UC
天an门,Tiananmen (Square),Days of an door,Sina UC
天a门,Tiananmen (Square),Day a door,Sina UC
城楼下传单飞扬,The city downstairs flyers fly (literal translation),City Flyer flying downstairs,Sina UC
坦克人,,Tanks people,Sina UC
坦克压死学生,,Tanks crushed student,Sina UC
坦克压死大学生,,Students tanks crushed,Sina UC; YY
坦克压学生,,Pressure tanks students,Sina UC; YY
坦克碾压,,Tanks rolling,Sina UC
国殇之柱,,Pillar of Shame,Sina UC; YY
信念就是那枪击不倒的风信旗,Belief is the weather vane that guns cannot shoot down,Belief is that the shooting would not fall Hyacinth flag,Sina UC
俞东岳,Person's name (homonym),Yu Dongyue,Sina UC
侯德健,Hou Dejian (Person's name),Hou Dejian,Sina UC
侏儒之歌,,Gnome Song,Sina UC
佩洛西,Pelosi,Pelosi,Sina UC
余志坚,Yu Zhijian (Person's name),Yu Zhijian,Sina UC
京都血火,(literal translation) Beijing Blood and Fire,Kyoto blood and fire,Sina UC
乌尔凯西,Person's name (homonym),Ur Casey,Sina UC; YY
中国大虐杀,,Chinese Massacre,Sina UC
六月乙酉,June yiyou year,June Yiyou,Sina UC
six*4,,,Sina UC
屠杀大学生,Massacre of university students,Students massacre,Sina UC
由自主民,Free people,By autonomous China,Sina UC
四六忘勿,Do not forget June 4 (backwards),Do not forget forty-six,Sina UC
首都高校学生联合体,,The capital of the Commonwealth of college students,Sina UC
天安門母親運動,Tiananmen Mother's group,Tiananmen Mothers,Sina UC
北京学生自治筹委会,Beijing Autonomous Students Preparatory Committee,Beijing Students Autonomous PC,Sina UC
首都高校学生联合体筹备组,,The capital of the Commonwealth of the preparatory group of college students,Sina UC
看图不说话,Look at picture and not talk,Figure does not speak,Sina UC
发图不说话,Distribute pictures and not talk,Made plans do not speak,Sina UC
儿童节过后三天,Three days after Children's Day (June 1),"Children's Day, after three days",Sina UC
儿童节之后三天,Three days after Children's Day (June 1),"Children's Day, after three days",Sina UC
儿童节三天后,Three days after Children's Day (June 1),Children three days after,Sina UC
61后三天,61 three days later,61 days later,Sina UC
61之后三天,61 three days later,61 After three days,Sina UC
61过后三天,61 three days later,61 After three days,Sina UC
61三天后,61 three days later (June 4),61 Three days later,Sina UC
Ⅵ月Ⅳ日,June 4,Ⅵ month Ⅳ Day,Sina UC
six—four,,,Sina UC
白衣行动,White clothing movement,White action,Sina UC
白衣行動,White clothing movement,White action,Sina UC
六=四,June 4,Six = four,Sina UC
民主女神,,Goddess of Democracy,Sina UC
*(^$,8964,,Sina UC
遙想當年血染河道,Thinking of that time when blood stained the river,Way back when bloody river,Sina UC
⑥④,,⑥④,Sina UC; YY
貳①,21,① II,Sina UC
8qb4,8964 (meme),,Sina UC
h9b8,,,Sina UC
五月35日,May 35 (aka June 4),May 35 May,Sina UC
平反VIIV,Redress June 4,Vindication VIIV,Sina UC
毋忘淥say,Do not forget June 4 (homonym),Lu say not forgotten,Sina UC
服务器维护日,,Server Maintenance Day,Sina UC
陆司,homonym for June 4,Lu Division,Sina UC
5月三十五,May 35 (June 4),May 3 十五,Sina UC
己巳年己巳月乙未日,"ji si year, ji si month, yi mo day",In March Yi Wei day Baba Baba,Sina UC
1玖8玖,(homonym) 1989,1 8 Jiu Jiu,Sina UC
綠四,June 4 (homonym),Green four,Sina UC
八的二次方,,Quadratic eight,Sina UC; YY
肆陸玖捌忘毋,"Do not forget June 4, 1989",Stanford Lu Wu Jiu Ba forget,Sina UC
Четыре,,Four,Sina UC
Шесть,,,Sina UC
Девять,,Nine,Sina UC
Восемь,,Eight,Sina UC
Восемь-Девять-Шесть-Четыре,,Eight-Nine-Six-Four,Sina UC
历史de伤口,The wound in history,History de wound,Sina UC
6月的第4天,The 4th day of June,The first four days of June,Sina UC
六。四,June 4,VI. Four,Sina UC
8|9|6|4,,,Sina UC
tank man,,,Sina UC
三月九十六号,March 96th (June 4),March ninety VI,Sina UC
四月六十五号,April 65th (meme for June 4),April sixty fifth,Sina UC
六+四,June 4,Six + four,Sina UC
⑥㈣,,,Sina UC
毋忘阝坴镸聿,Do not forget June 4 (meme),Not to forget the Fu Lu Chang Yu,Sina UC
四海之内皆兄弟,,All men are brothers,Sina UC
六出祁山凭谋略,,With six Qishan strategy,Sina UC
八舊,Homonym for 89 (ba jiu),Eight old,Sina UC
陸斯,June 4,Miss Adams,Sina UC
蒋捷连,Jiang Jielian (Person's name),Jiang Jie Lian,Sina UC
蔣捷連,Jiang Jielian (Person's name),Jiang Jie Lian,Sina UC
碌死,June 4 (homonym),Lu dead,Sina UC
天安門事件,Tiananmen Incident,Tiananmen Incident,Sina UC
#tiananmen,,,Sina UC
#8964,,,Sina UC
榴嗣,Homonym for June 4 (1989),Liu Si,Sina UC
6月的第四天,4th day of June,Fourth day of June,Sina UC
六死,Six death,Six dead,Sina UC
乌尔开希,Person's name,Ur Kaixi,Sina UC
平*反,Redress; vindicate,* Anti-Ping,Sina UC
毛忘,(homonym) Mao forget (do not forget),Mao forget,Sina UC
錄四,June 4 (homonym),Recorded four,Sina UC
2的6次方,2 ^ 6 (2 to the power of 6) = 64,6 th power of 2,Sina UC
从学潮到动乱,,From the student movement to unrest,Sina UC
再次点燃将熄灭之火,Re-ignite the fire that has just been extinguished,Ignite the fire will go out again,Sina UC
六泗,June 4 (homonym),Six Si,Sina UC
喻东岳,Yu Dongyue (Person's name),Yu Dongyue,Sina UC
天安门屠夫,Tiananmen Square massacre,Tiananmen butcher,Sina UC
要准备好有流血事件发生,,Be ready to have bloodshed,Sina UC
邓小平下令镇压,Deng Xiaoping orders martial law,Deng Xiaoping ordered the suppression,Sina UC
小平下令镇压,[Deng] Xiaoping orders suppression,Xiaoping ordered the suppression,Sina UC
邓小平拍板戒严,Deng Xiaoping order martial law,Deng Xiaoping martial clappers,Sina UC
小平拍板戒严,[Deng] Xiaoping finalized (green lights) martial law,Xiaoping finalized martial law,Sina UC
李鹏日记,Li Peng Diaries (Book),Li diary,Sina UC; YY; LINE
李月月鸟日记,Li Peng Diaries (Book),Lee Bird diary month,Sina UC
lipeng日记,Li Peng Diaries (Book),lipeng diary,Sina UC
快把鹏儿领回家,Hurry up and take Peng-er [Li Peng] home,Get out Penger brought home,Sina UC
八八血卡,,Eighty-eight blood card,Sina UC
八九血案,,Eighty-nine murder,Sina UC
八9六4,89 64,Eight nine six four,Sina UC; YY
六四全记录,June 4 full record,Sixty-four Full Record,Sina UC
六四真相,Six four truth,Tiananmen,Sina UC; YY
Blood is on the square,,,Sina UC
广场上的热血,Hot blood on the Square,Blood on the square,Sina UC; YY
小平同志谈六四,Comrade [Deng] Xiaoping speaks about June 4,Comrade Xiaoping talk Tiananmen,Sina UC
ping fan liu si,,,Sina UC
liu si,Six four,,Sina UC
六亖,June 4,Six 亖,Sina UC
六厶,June 4,Six Si,Sina UC
黄雀行动,,Operation Yellowbird,Sina UC
min运人士,Democracy activists,min activists,Sina UC
min运份子,Democracy activists,min activist,Sina UC
八九學運,1989 student movement,The student movement,Sina UC
24人通缉令,,24 arrest warrants,Sina UC
二十四人通缉令,,Twenty-four warrant,Sina UC
Sky安gate,Tiananmen,Sky Security gate,Sina UC
6.2+2,6.4,,Sina UC
八九民運,,June incident,Sina UC
258个月,258 months (21.5 years),258 months,Sina UC
八九運動,1989 Movement,1989 movement,Sina UC
６罒,June 4,6 Si,Sina UC
six.4,,,Sina UC
8玖,89 (meme),8 Nine,Sina UC; YY
吾爾KAI希,Wu'erkaixi (Person's name),I hope KAI Seoul,Sina UC
liu四,June 4,liu four,Sina UC
谁说那个数字谁就得死,Whoever says that number shall die,Who says that number who have died,Sina UC
金水河畔的拖拉机,Tanks/tractors from Jinshui River,Goldwater tractor River,Sina UC
软禁中的谈话,Conversation under house arrest,Under house arrest in conversation,Sina UC
天A门,,A door day,Sina Show
八九学潮,89 student strike,Eighty-nine Student Strike,YY
八*九*学*潮,,Eight * nine * learn * tide,YY
学生运动,,Student Movement,YY; Sina Show; 9158
89年6月4日,,4 June 1989,YY
六&四,,Six & four,YY
民主和专制,,Democracy and autocracy,YY
四二七游行,April 27 demonstrations,Four hundred twenty-seven parade,YY
绝食请愿,hunger strike,Hunger petition,YY
21名骨干学生,21 most-wanted student leaders,21 key student,YY
天安门母亲运动,,Tiananmen Mothers,YY
自焚伪案,Likely related to a self-immolation that was reported at Tiannamen square but was later found to be false,Pseudo-self-immolation case,YY
丁子霖 天安门,,Ding Zilin Tiananmen,YY
焚烧国旗,,Flag burning,YY
上街示威,,Took to the streets,YY
天安门举行恐怖活动,,Tiananmen hold terrorist activities,YY
五人被坦克压死,,Five people were killed tanks,YY
1989年6月4日,,"June 4, 1989",YY
刘士辉,,Liu Shihui,YY
天安门广场,,Tiananmen Square,YY
六四屠杀,Hot blood on the Square,4 June massacre,YY
八九民主运动,,Eighty-nine democratic movement,YY
天安门屠杀,,Tiananmen massacre,YY; Sina Show
ⅧⅨ事件,,ⅧⅨ event,YY
天安门清场,,Tiananmen clearance,YY
春夏之交的政治风波,,Spring and summer of political turmoil,YY
四二二事件,,Four hundred twenty-two event,YY
坦克辗压,,Tanks rolling,YY
难忘的8天8夜,,Memorable eight days and eight nights,YY
四二一游行,,Four hundred twenty-one parade,YY
烛火悼念,,Candlelight Tribute,YY
23年祭,,23 years offering,YY
香港维园,,Hong Kong's Victoria Park,YY
六四遊行,,Sixty-four parade,YY
5月35日,May 35,May 35 May,YY
天下围城,,Siege world,YY
89闹学潮,,89 student strike,YY
邓小平屠杀,,Deng Xiaoping massacre,YY
天安门屠城,,Tiananmen massacre,YY
4日凌晨遭解放军戒,,PLA was 4 am Ring,YY
liusixueyun,,,YY
8平方那事,,8 square that thing,YY
64图片,,64 Photos,YY
6si事件,,6si event,YY
thetankmen,,,YY
64政变,,64 coup,YY
64屠城,,64 massacre,YY; LINE
64之前,,Before 64,YY
64前后,,64 before and after,YY
onenineeightnine,,,YY
64敏感,,64 sensitive,YY
89风云,,FY 89,YY
3小时纪录片,,3 hours documentary,YY
27军军长怒砸,,Army commander angrily smashing 27,YY
柳丝25周年,,Stir 25th anniversary,YY
六④25年祭,,Six years of sacrifice ④25,YY
某事件25周年,,25th anniversary of an event,YY
25年前柳丝,,25 years ago Stir,YY
六四22year,,Sixty-four 22year,YY
25周年8x8,,25th Anniversary 8x8,YY
25年八平方,,25 years eight square,YY
22year64,,,YY
25年xue朝,,25 years towards xue,YY
22陆肆,,22 Lusi,YY
TAM事件25周年,,TAM 25th anniversary event,YY
x事件25周年,,x 25 anniversary events,YY
88事件25周年,,88 25th Anniversary Event,YY
22yearsago,,,YY
junefour25周年,,junefour25 anniversary,YY
六月13号25周年,,June 13 marks the 25th anniversary,YY
6四22year,,6 four 22year,YY
liusi22year,,,YY
陆肆25周年,,25th anniversary of the Lusi,YY
tiananmen事件25周年,,tiananmen 25th anniversary event,YY
天A门事件25周年,,A scandal-day 25th anniversary,YY
生日设置为6月4日,,Birthday set June 4,YY
哀悼民运,,Mourning pro,YY
不容亵渎六四亡灵,,The dead can not be profane sixty-four,YY
2x32事件,,2x32 event,YY
企业主的六四情节,,Business owners Tiananmen episode,YY
六四后札记,,After June Fourth Notes,YY
赵zi阳,,Yang Zhao zi,YY
方li之,,The party li,YY
吾er开西,,I er open West,YY
吾ER开XI,,I open XI ER,YY
天安门运动,,Tiananmen movement,YY
刘小波能得奖吗,,Liu Xiaobo winning can do,YY
tian安men,,tian security men,YY
天XX事件,,XX day event,YY
T安门事件,,T Tiananmen incident,YY
流si,,Flow si,YY
北大生穿64入校,,Beijing University students into the school through 64,YY
广场禁白衣,,Square white ban,YY
六四亡魂,,Sixty-four Revenant,YY
25年前,,25 years ago,YY
民主人士被软禁,,Democrats are under house arrest,YY
解放报禁,,Liberation ban,YY
当局的理念,,Authorities philosophy,YY
五月三十五日,,Thirty May 5,YY
五月三十五号,,May 30 V,YY
鹿死瓶反,,Anti dead deer bottle,YY
25周年,,25th Anniversary,YY
绝食24小时,,24 hours hunger strike,YY
六四黑手,,Sixty-four Blackhand,YY
二十二周年,,22 Years Anniversary,YY
勿忘今日,,Do not forget today,YY
六四聚会,,Sixty-four party,YY
25周年庆,,25th anniversary,YY
25周年纪念,,25th Anniversary,YY
瓶翻鹿死,,Bottle turned dead deer,YY
瓶fan鹿死,,Bottles fan dead deer,YY
吴耳开息,,Wuerkaixi,YY
我儿开西,,My children open the West,YY
52凯xi,,52 Kay xi,YY
沃儿凯西,,Kathy Waugh children,YY
吴耳凯西,,Wu ear Casey,YY
吴耳开西,,Miss West ears open,YY
乌尔楷西,,Ur Kai West,YY
沃儿开西,,Wal children open West,YY
五二开西,,Fifty-two Open West,YY
五二开席,,Fifty-two open seats,YY
把九的事,eight nine things,The nine things,YY
52开c,,52 open c,YY
六月寺号,,June Temple No.,YY
吴而开西,,Wu and open the West,YY
舞而开西,,Dance and open the West,YY
无二凯西,,Casey goes,YY
six月四号,,six months fourth,YY
89xue潮,,89xue tide,YY
89学巢,,89 school nest,YY
64事见,,64 things to see,YY
鹿4,,Deer 4,YY
25年前6月,,25 years ago in June,YY
北.京之春,,North. Beijing Spring,YY
北京大屠杀,,Beijing massacre,YY
北京屠杀,,Beijing massacre,YY
维园纪念,,Victoria Park Memorial,YY
June4th事件,,June4th event,YY
4thofJune,,,YY
流四事件,,Stream four events,YY
异jian人士,,Jian different people,YY
天鞍们广场,,Saddle day they Square,YY
liusi死难者,,liusi victims,YY
VIIIV死难者,,VIIIV victims,YY
邓小平杀大学生事件,,Students Xiaoping kill event,YY
又到64,,Went to 64,YY
1989年的运动,,1989 sports,YY
64英雄,,64 Heroes,YY
64英烈,,64 martyrs,YY
拉发事件,,Rafah event,YY
八九拉发,,Eighty-nine Rafah,YY
学潮初起,,Since the beginning of the student movement,YY
纪念拉发,,Memorial Rafah,YY
拉发晚会,,Rafah party,YY
拉发烛光悼念,,Rafah candlelight vigil,YY
六四的死难者,,June Fourth victims,YY
摧毁独裁政权,,Destroying dictatorships,YY
去广场上站一会,,Square Station on the go for a while,YY
广场的日与夜,,Day and Night Plaza,YY
学生精华游,,Student Highlights Tour,YY
游行集会纪念活动,,Commemoration march rally,YY
六四二十二周年,,Tiananmen 22 Years Anniversary,YY
六四艺术纪念馆,,Sixty-four Art Museum,YY
六四传薪火,,Sixty-four pass Passing,YY
自由花手语舞,,Freedom took sign language dance,YY
我要回家运动,,I want to go home sports,YY
六四论坛,,Sixty-four Forum,YY
六四烛光悼念,,Sixty-four candlelight vigil,YY
六四纪念馆,,June 4th Museum,YY
6泗大学生,,6 Si Students,YY
6泗事件,,6 Si event,YY
门安天,,On day door,YY
八十年代末的六月四日,,June 4 at the end of the eighties,YY
八的平方那事,,Eight of those square things,YY
90年前一年,,90 year ago,YY
90年的前一年,,90 years of the previous year,YY
沉默的sixfour,,Silence sixfour,YY
挡坦克的,,Block tanks,YY
1989xx的纪录片,,1989xx documentary,YY
纪录片tiananmen,,Documentary tiananmen,YY
64添安门,,64 Tim Yasukado,YY
青年拦坦克,,Young stopped tanks,YY
19881年6月31号,,19881 on June 31,YY
拦坦克的,,Elam tanks,YY
邓屠夫,,Deng Butcher,YY
食绝场广门安天,,Fresh absolutely safe door wide field day,YY
89年的那次,,89 years that,YY
89年那次,,That 89 years,YY
8964发生的事,,8964 things happen,YY
中国政治的禁片,,Chinese politics ban films,YY
八九年六月在北京,,June 2089 in Beijing,YY
八九天安门运动,,Eighty-nine Tiananmen movement,YY
20年前的这个时候,,This time 20 years ago,YY
tam爆乱,,tam explosive disorder,YY
89北京风波,,89 Beijing storm,YY
一九八九年六四,,4 June 1989,YY
一九八九年六月四号,,"June 4, 1989",YY
8的平方,,8 square,YY
八9学潮,,Eight nine student movement,YY
8九xuechao,,8 nine xuechao,YY
八九xuechao,,Eighty-nine xuechao,YY
天安门残摩,,Tiananmen residual friction,YY
天安门录影带,,Tiananmen video,YY; Sina Show
天安门一代,,Tiananmen generation,YY; Sina Show
丁子霖的名单,,Ding Zilin list,YY
民运纪念,,MDC Memorial,YY
掩盖中共镇压,,Hide Communist repression,YY
中共党魁版,,Communist leader Edition,YY
赵紫阳反思,,Zhao reflection,YY
64年屠城,,64 years massacre,YY
看中共与良心,,Chinese Communist Party and Conscience,YY
赵紫阳软禁,,Zhao's house arrest,YY
木樨地枪声,,Sweetclover gunfire,YY
一九八九风波,,One thousand nine hundred eighty-nine storm,YY
一九八九事件,,One thousand nine hundred eighty-nine event,YY
天安门镇压,,Tiananmen crackdown,YY
解放军清场,,PLA clearance,YY
6月4号是什么日子,,June 4 is what day,YY
6月4日是什么日子,,June 4 is what day,YY
激流中国纪录片,,Dynamic China Documentary,YY
tiananmen学生定性,,Qualitative student tiananmen,YY
tiananmen母亲,,tiananmen mother,YY
tiananmen屠杀,,tiananmen massacre,YY
天安门访民,,Tiananmen Petitioners,YY
天安门民运,,Tiananmen Square pro-democracy movement,YY
天安门三君子,,Tiananmen three gentlemen,YY
天安门撒传单,,Tiananmen leaflets,YY
天安门情人,,Tiananmen lover,YY
天安门坦克,,Tiananmen Tank,YY
天安们事件,,Tiananmen incident,YY
天安们母亲,,Tiananmen mothers,YY
丁子霖母亲,,Ding Zilin mother,YY
天an门1989,,Days of an door 1989,YY
天按门1989,,Day by the door 1989,YY
天a门事件,,Days of a scandal,YY
89六四,,"June 4, 1989",YY
赵Z阳集团,,Zhao Z Yang Group,YY
爱国民主大游行,,Patriotic and democratic Parade,YY
丁子霖名单,,Ding Zilin list,YY
柳丝真相,,Stir the truth,YY
屠城责任,,Responsibility for the massacre,YY
六四公投,,Sixty-four referendum,YY
八八相乘运动,,Eighty-eight multiplied sports,YY
五三五事件,,Five hundred thirty-five event,YY
六四戴晴,,Sixty-four DAI,YY
64薪火,,64 Passing,YY
64烛光,,64 Candlelight,YY
六四杀戮,,Sixty-four killings,YY
八9运动,,Eight nine sports,YY
liusi屠杀,,liusi massacre,YY
liu四屠杀,,liu four massacre,YY
六si屠杀,,Six si massacre,YY
陆肆屠杀,,Lusi massacre,YY
陆四屠杀,,Lu four massacre,YY
六肆屠杀,,Six wantonly slaughter,YY
liu肆屠杀,,liu wantonly slaughter,YY
陆si屠杀,,Lu si massacre,YY
久ping共产党,,Long ping Communist,YY
8jiu学潮,,8jiu student protests,YY
