word_id,word,human_translation,machine_translation,pinyin,description,client,lists,category,category_id,theme
15,方励之,Fang Lizhi (Person's name),,fang li zhi,"A professor who was expelled from China in 1987 because of the student movement that was inspired by his liberal ideas, in the years leading up to June, 1989.",Both,Sina UC List 1;Sina UC List 2;Sina UC List 4;Sina UC List 5;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Dissident / Activist,93,People
16,明慧网,Enlightenment Web (loose translation),,ming hui wang,"Enlightenment Web is the name of minghui.org, -- a Falun Gong website.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
17,少女洗澡,,Girls bathing,shaonu xizao,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
18,民主促进委员会,China Association for Promoting Democracy,,minzhu cujin weiyuanhui,"This is one of the eight legally recognized political parties in the PRC that is under the direction of the Communist Party of China. For more information, please see: http://en.wikipedia.org/wiki/China_Association_for_Promoting_Democracy.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Political Parties (Non-CPC),118,Political
19,信访通讯录,Petition contacts,,xin fang tongxun lu,This appears to be a list of government organizations in China that can be contacted with various kinds of grievances.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Petitioning (Administrative System),94,Political
20,反黑申诉联盟,,Triad Alliance appeal,fan hei shensu lianmeng,"It appears that Chen Shu-Wei sued telecommunications companies and the ruling went against him, so he filed an appeal with a single word, ""fuck"" in protest.  This keyword seems to be a name of a ministry that handles telecommunications fraud cases or something, or maybe something to do with a pyramid scheme that spread via mobile phones.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Corruption Scandals,104,Political
21,未来中国论坛,Future China Forum,Future China Forum,weilai Zhongguo luntan,"This could be a reference to this website: http://bbs.futurechinaforum.org/ which discusses different political, religious, economic topics. It is likely related to the Falun Gong movement.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
22,观音法门,Quan Yin Method,,guan yin fa men,"A Buddhist meditation method. This meditation method was founded in 1988 by a Vietnamese woman and introduced in China in 1992. Unrelated to Falun Gong, but after Falun Gong was banned in 1999, the ""Guan/Quan Yin Method"" was labelled an evil cult. For more information, please see: http://www.ecoi.net/local_link/171816/288126_de.html.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
23,高勤荣,"A former reporter for China's official Xinhua News Agency who was imprisoned for 8 years after writing an article about a scam irrigation project.  The article was never published but was widely circulated.  He was sentenced to 12 years for embezzlement, fraud, and pimping, but served only 8 years.",Gao Qinrong,gao qin rong,,Both,Sina UC List 1;Sina UC List 2;Sina UC List 4;Sina UC List 5;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Victims of Crime / Violent Criminals,124,People
24,李培英,A former airport manager who was executed for embezzlement and accepting bribes.,Li Peiying,li pei ying,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Corruption Scandals,104,Political
25,杜崇烟,"A former communist party member who was sentenced for accepting bribes, rape, and other crimes.",Du Chong Yan,du chong yan,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
26,段义和,A former communist party member executed for accepting bribes and homicide.  He allegedly killed his mistress with a bomb that also injured two bystanders.,Duan Yihe,duan yi he,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
27,胡紧掏,President of the People's Republic of China.,Hu Jintao,hu jin tao,Homonym.,Both,Sina UC List 1;Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
28,全球人文纪元,Global Human Epoch,,quanqiu ren wen jiyuan,A photography contest sponsored by Epoch Weekly.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
29,龙虎门每周会,,Dragon Tiger Gate Weekly,long hu men meizhou hui,Appears to have something to do with an online card game.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Gambling,69,Social
30,情色六月天,,Erotic June Day,qing se liuyue tian,"A porn website that some Chinese youth were arrested for being involved with, many of them college students.",Both,Sina UC List 3;Sina UC List 4;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Prurient Interests,1,Social
31,金人庆,A former communist party member who resigned.  Some think the reasons for his resignation are related to corruption and a sex scandal.,Jin Ren Qing,jin ren qing,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
32,吕耿松,,Lu Geng Song,lu geng song,"Lu Gengsong is a Chinese writer and civil rights activist. He is mostly recognized as the author of the book ""Corrupted Officials in China"", which appeared in Hong Kong in 2000. His work mostly reveals the corruptions of the Communist Party of China and was imprisoned in 2008 See http://en.wikipedia.org/wiki/L%C3%BC_Gengsong",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Dissident / Activist,93,People
33,黄菊,Huang Ju,Huang Ju,huang ju,"A politician who was a powerful member of the ""Shanghai Clique"", a political clique associated with former president Jiang Zemin.  He and his family members were involved in various corruption cases.",Both,Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
34,王维工,He was involved in a social security fund embezzlement case in Shanghai.,Wang Wei Gong,wang wei gong,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Corruption Scandals,104,Political
35,余慧文,"Huang Ju's wife, who was involved in some of the corruption cases associated with him.",Yu Huiwen,yu hui wen,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Relatives / Associates of Government Officials,105,People
36,江绵恒,Jiang Mianheng,,jiang mian heng,"This is Jiang Zemin's son. Jiang Mianheng was recently involved in major corruption scandals in China. For more information, please see: http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20120327000003&cid=1601; http://www.nytimes.com/2012/05/18/world/asia/china-princelings-using-family-ties-to-gain-riches.html?pagewanted=all&_r=0.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Relatives / Associates of Government Officials,105,People
37,刘延东,"Liu Yandong(刘延东) (born November 1945) is an official of the Communist Party of China currently serving on the Politburo of the Communist Party of China. She also holds the post of State Councilor. Since the retirement of Wu Yi, she has been the highest-ranked female politician in the Party, and the only woman with a seat on the Politburo. https://en.wikipedia.org/wiki/Liu_Yandong",Liu Yandong,liu yan dong,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
38,张德江,Person's name,Zhang Dejiang,zhang Dejiang,"Zhang Dejiang is a vice premier of China, a member of the Communist Party's Politburo, and party chief in Chongqing (succeeding Bo Xilai). On July 23, 2011, Zhang Dejiang was head of rescue efforts of the train crash. He and other party leaders ordered the burial of the wreckage. For more information, please see: http://www.theepochtimes.com/n2/china-news/in-wake-of-rail-disaster-hints-of-a-power-struggle-59766.html; http://chinadigitaltimes.net/2012/07/wenzhou-train-burying-continues/.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Wenzhou Train Crash,33,Events
39,赵紫阳,Zhao Ziyang (Person's name),,zhaoziyang,"A former Premier of China who was sympathetic to the June 4th Tiananmen Square protesters and dismissed from his post. 
For more information, please see: http://en.wikipedia.org/wiki/Zhao_Ziyang.",Both,Sina UC List 1;Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
40,段桂青,Duan Gui Qing,Duan Gui Qing,duan gui qing,Duan Gui Qing is the assistant chief of the Beijing police.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
41,联名上书,A joint petition letter,,lianming shang shu,"For more information on petitioning in China, please see: http://en.wikipedia.org/wiki/Petitioning_(China).",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only,Petitioning (Administrative System),94,Political
42,瘟家宝,Wen Jiabao,Wen Jiabao,wen jia bao,Wen Jiabo is the Premier of the People's Republic of China and a leading economic policy figure.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
43,温宝宝,"""mild baby""",,wen baobao,Mild baby is a reference to Wen Jiabao.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Communist Party of China (CPC),128,Political
44,公子党,"""Princeling"" faction",Son of the party,gong zi dang,"This is likely a reference to the ""Princeling"" faction in the Communist Party of China. This is not a formal name but a derogatory term to signify those (usually sons and daughters of prominent members of the CPC) who are benefitting from nepotism. For more information, please see: http://en.wikipedia.org/wiki/Princelings.

For more information on prominent families in China, please see: http://www.chinavitae.com/library/prominent-families.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Communist Party of China (CPC),128,Political
45,寡头政治,,Oligarchy,guatouzhengzhi,"Oligarchy is a structure where power rests with a small number of people, and such systems are often controlled by a few prominent families who keep the power within the family (see: http://en.wikipedia.org/wiki/Oligarchy). See for example the ""Princeling"" faction of the Communist Party of China: http://en.wikipedia.org/wiki/Princelings.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Government,129,Political
46,血腥和谐,Bloody Harmony,,xuexing hexie,"Probably a reference to Hu Jintao's ""harmonious society.""",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Communist Party of China (CPC),128,Political
47,公误员,"This has the same pinyin, i.e., same pronunciation and tone, as ""公务员"", which means ""office bearer"", except that the middle character is changed to mean ""mistake"" instead of ""affairs"".",,gong wu yuan,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Government,129,Political
48,和邪社会,,Harmony Evil Society,he xie shehui,"A corruption of ""和谐社会"", which means ""harmonious society"", that has the same pinyin.  Harmonious society is Hu Jintao's vision for content middle class society in China.  The second character is corrupted to sound the same, but means ""evil"" instead of ""harmony"".",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Communist Party of China (CPC),128,Political
49,河蟹社会,,River Crab Society,he xie shehui,"Also a corruption of ""和谐社会"", which means ""harmonious society"".  The pinyin is not quite the same, the second character has a down tone instead of an up tone in this case and means ""crab"".  The river crab has become an online symbol of Internet censorship and other forms of censorship because of its closeness to ""harmonious"" in terms of pronunciation.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Censorship,83,Political
50,党内民主,"Democracy within the (Communist) Party or ""Inner-party democracy""",,dangnei minzhu,"""Inner-party democracy"" refers to the notion that within the Communist Party of China, all party members, regardless of position are entitled to the rights of the Party Constitution and are responsible to fulfill its obligations. There are four parts to the ""inner-party democracy"": democratic elections, democratic decision-making, democratic management, and democratic supervision. For more information, please see: http://baike.baidu.com/view/186545.htm (Chinese; translate to English to read); http://www.china.org.cn/english/congress/228201.htm. 


As an aside, it may also be a reference to Hu Jintao's policy of promoting democracy but without changing the status quo in terms of the party itself.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Communist Party of China (CPC),48,Political
51,民主联盟党,,Democratic Coalition Party,minzhu lianmeng dang,Need clarification,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Democracy (Chinese Democracy Movement),72,Political
52,民众法治联盟,,People's rule of law coalition,minzhong fazhi lianmeng,Need clarification,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Democracy (Chinese Democracy Movement),72,Political
53,马宾,"A person, formerly known as ""Zhang Yuan"".  He was part of the communist revolution.  He signed the ""Letter of the Fourteen"", a letter by fourteen former revolutionaries that is opposed to the introduction of capitalism in China.",Mabin,mabin,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only,CPC member / Gov official,119,People
54,韩西雅,"A figure in the communist party with a long history.  He also signed the ""Letter of the Fourteen"".",Han Xi Ya,han xiya,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
55,李锐,Li Rui,Li Rui,li rui,"A communist party elder, he wrote an open letter to the National People's Congress calling for an end to censorship.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
56,威权统治,,Authoritarian rule,wei quan tongzhi,"This could also be a reference to a book published in March 2013 entitled ""Transitions from Authoritarian Rule"" [威权统治的转型]. For more information, please see: http://book.163.com/12/0706/16/85OADLVG00923M2M.html.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Communist Party of China (CPC),128,Political
57,恽小华,A Nanjing University professor who was murdered on campus.,Yun Xiao-hua,yun xiao hua,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Victims of Crime / Violent Criminals,124,People
58,汪兆钧,,Wang Zhaojun,wang zhao jun,Wang Zhaojun is a Chinese official who wrote an open letter about the future of China which discussed China's financial issues.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,CPC member / Gov official,119,People
59,郑存柱,Zheng Cun Zhu (Person's name),,zheng cun zhu,"Zheng Cun Zhu  was a student leader at the Tiananmen Square protests, wrote a open letter calling for reform.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Dissident / Activist,93,People
60,聂树斌,Person's name,,nie shu bin,"He was executed in 1995.  His family feels that he was wrongly accused, many contend that he was innocent but was coerced with torture into admitting to the crimes of rape and murder.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Victims of Crime / Violent Criminals,124,People
61,公务员替考,Probably in reference to the children of powerful people hiring others to take school exams for them.,Office bearer substitute test taker,gongwuyuan ti kao,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Illicit Goods and Services,66,Social
62,雅思替考,IELTS is the International English Language Testing System.,IELTS substitute test taker,ya si ti kao,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Illicit Goods and Services,66,Social
63,英语代考,,English test replacement,Yingyu dai kao,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Illicit Goods and Services,66,Social
64,CCNA代考语,"CCNA is perhaps ""Cisco Certified Network Associate"".",CCNA langauge exam substitute,CCNAdai kao yu,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Illicit Goods and Services,66,Social
65,代考网,Website where people take tests for others,,dai kao wang,"""Dai kao wang"" is a website that a graduate student started in 2009. Communication was done through QQ or cellphones. It started of as something fun, but later it became a business and the student was caught, prosecuted and sentenced to 10 months of imprisonment. For more information, please see: http://tupian.hudong.com/a1_78_26_01300000291746125730268682946_jpg.html (Chinese).",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Illicit Goods and Services,66,Social
