dp,url,cat,title,QA_txt,QA_status
B00M751PSC,https://www.amazon.com/dp/B00M751PSC/?aod=1,,Amazon.com: Genesis Laboratories Bio Bulgarian Yogurt Starter Culture for Bio Yogurt Natural Probiotic Yogurt Culture Starter Homemade Yoghurt Starter 20 Liters Lactobacillus bulgaricus 10 Capsules : Health & Household,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B00AYIM9Y8,https://www.amazon.com/dp/B00AYIM9Y8/?aod=1,,"Amazon.com: BULKSUPPLEMENTS.COM Ascorbic Acid Powder (Vitamin C Powder) - Pure Vitamin C - 1000mg Vitamin C - 1g (1000mg) of Vitamin C per Serving, 1000 Servings (1 Kilogram - 2.2 lbs) : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (1)
B00E7GV6GA,https://www.amazon.com/dp/B00E7GV6GA/?aod=1,,"Amazon.com: BULKSUPPLEMENTS.COM BCAA 2:1:1 Powder - Branched Chain Amino Acids - BCAA Powder - BCAAs Amino Acids - BCAA Pre Workout - Amino Acid Powder - 6000mg per Serving, 167 Servings (1 Kilogram - 2.2 lbs) : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
B00E7TMONG,https://www.amazon.com/dp/B00E7TMONG/?aod=1,,"Amazon.com: BULKSUPPLEMENTS.COM L-Glutamine Powder - BCAA Glutamine - Glutamine Supplement - L Glutamine Powder - 5000mg (5g) per Serving, 200 Servings (1 Kilogram - 2.2 lbs) : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B00E9M4XEE,https://www.amazon.com/dp/B00E9M4XEE/?aod=1,,"Amazon.com: BULKSUPPLEMENTS.COM Creatine Monohydrate Powder - 5g of Micronized Creatine Monohydrate Powder per Serving, Pre Workout Creatine, Vegan Creatine, Creatine for Building Muscle (1 Kilogram - 2.2 lbs) : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B00EOXU0OK,https://www.amazon.com/dp/B00EOXU0OK/?aod=1,,"Amazon.com: BULKSUPPLEMENTS.COM Glycine Powder - Amino Acids Supplement for Liver & Immune Support - Unflavored, Gluten Free - 1000mg per Serving, 250 Servings (250 Grams - 8.8 oz) : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
1946608033,https://www.amazon.com/dp/1946608033/?aod=1,,"Cars, Cobras, and Concertos: Johnson, Jennifer: 9781946608031: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
1419766066,https://www.amazon.com/dp/1419766066/?aod=1,,"Cats Rule the Earth Tarot: 78-Card Deck and Guidebook for the Feline-Obsessed: Davidson, Catherine, Corrêa, Thiago: 9781419766060: Amazon.com: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (6)
1478169915,https://www.amazon.com/dp/1478169915/?aod=1,,"Chakra Secrets (Chakra Balancing Stories & Tools): Chopra, Becca: 9781478169918: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (2)
1643885669,https://www.amazon.com/dp/1643885669/?aod=1,,"Chiappelli: An American Name: Chiappelli, Dr. Ted: 9781643885667: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (5)
1947210289,https://www.amazon.com/dp/1947210289/?aod=1,,"Amazon.com: Choices: A Collection of Questionable Decisions: 9781947210288: Press, Temptation, Brodman, Pamela, Golod, Flo, Flores-Lowry, Pam, Luiz, Ze, Mackey, Malorie, Taylor, Valerie: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
B08Y5KRT5B,https://www.amazon.com/dp/B08Y5KRT5B/?aod=1,,"COLORING LIFE: Secrets, secrets are no fun when you hide them from everyone.: Alexander, Vikki: 9798714052491: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
1771434074,https://www.amazon.com/dp/1771434074/?aod=1,,"Conscious Cock: The Empowered Sexuality Manual for Men: Healthy Masculinity, Sex Education & Communication Tools: Lovestone, Kristopher: 9781771434072: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
099678182X,https://www.amazon.com/dp/099678182X/?aod=1,,"Amazon.com: The Controversial Princess (Smoke & Mirrors Duology, 1): 9780996781824: Malpas, Jodi Ellen: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,No button (0)
B09HH8B79P,https://www.amazon.com/dp/B09HH8B79P/?aod=1,,"Amazon.com: DJI Mavic 3, Drone with 4/3 CMOS Hasselblad Camera, 5.1K Video, Omnidirectional Obstacle Sensing, 46 Mins Flight, Advanced Auto Return, 15km Video Transmission, with DJI RC-N1 Remote Controller, Gray",This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar,Not added (2)
B07CXX39Y7,https://www.amazon.com/dp/B07CXX39Y7/?aod=1,,"Amazon.com: DJI Phantom 4 Pro V2.0 - Drone Quadcopter UAV with 20MP Camera 1"" CMOS Sensor 4K H.265 Video 3-Axis Gimbal White : Toys & Games",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B01MXLLDQ8,https://www.amazon.com/dp/B01MXLLDQ8/?aod=1,,"Amazon.com: DJI Phantom 4 PRO Professional Drone, Hobby RC Quadcopter & Multirotor, White, CP.PT.000488 : Toys & Games",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (1)
B0019GW3G8,https://www.amazon.com/dp/B0019GW3G8/?aod=1,,"Amazon.com: Doctor's Best High Absorption CoQ10 with BioPerine, Gluten Free, Naturally Fermented, Heart Health, Energy Production, 100 mg, 120 Count : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (3)
B000BD0RT0,https://www.amazon.com/dp/B000BD0RT0/?aod=1,,"Amazon.com: Doctor's Best High Absorption Magnesium Glycinate Lysinate, 100% Chelated, Non-GMO, Vegan, Gluten & Soy Free, 100 mg, 240 Count : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B000BD0RQS,https://www.amazon.com/dp/B000BD0RQS/?aod=1,,Amazon.com: Doctor's Best DRB-00107 High Absorption Curcumin From Turmeric Root with C3 Complex & BioPerine 500mg (120 Capsules) : Health & Household,Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,Not added (1)
0061665436,https://www.amazon.com/dp/0061665436/?aod=1,,"Amazon.com: Thy Neighbor's Wife: 9780061665431: Talese, Gay: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,No button (0)
0062645129,https://www.amazon.com/dp/0062645129/?aod=1,,"Amazon.com: Erotic Stories for Punjabi Widows: A Novel: 9780062645128: Jaswal, Balli Kaur: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (4)
022882205X,https://www.amazon.com/dp/022882205X/?aod=1,,"Magnificent Mind: Uncover Your Psychological Well Being So You Can Live in Heaven While on Earth: Christenson, Jan: 9780228822059: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
0241433983,https://www.amazon.com/dp/0241433983/?aod=1,,Amazon.com: JULIET TAKES A BREATH: 9780241433980: RIVERA GABBY: Books,Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (4)
0241970776,https://www.amazon.com/dp/0241970776/?aod=1,,Big Sleep: Chandler Raymond: 9780241970775: Amazon.com: Books,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar See similar items shipping to Qatar. See Similar Items,Not added (4)
030746363X,https://www.amazon.com/dp/030746363X/?aod=1,,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman: Ferriss, Timothy: 8601401261797: Amazon.com: Books",This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar See similar items shipping to Qatar. See Similar Items,No button (0)
0374534837,https://www.amazon.com/dp/0374534837/?aod=1,,"Perv: The Sexual Deviant in All of Us: Bering, Jesse: 2015374534837: Amazon.com: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (8)
0393331660,https://www.amazon.com/dp/0393331660/?aod=1,,"The Arabian Nights: Mahdi, Muhsin, Haddawy, Husain: 9780393331660: Amazon.com: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,No button (0)
052542802X,https://www.amazon.com/dp/052542802X/?aod=1,,"Amazon.com: Looking for Alaska Deluxe Edition: 9780525428022: Green, John: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,No button (0)
0615741932,https://www.amazon.com/dp/0615741932/?aod=1,,"Amazon.com: In Flight (Up In The Air): 9780615741932: Lilley, R. K.: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (2)
0615927335,https://www.amazon.com/dp/0615927335/?aod=1,,"Good Pictures Bad Pictures: Porn-Proofing Today's Young Kids: Kristen A Jenson, Gail Poyner, Debbie Fox: 9780615927336: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (3)
0645141518,https://www.amazon.com/dp/0645141518/?aod=1,,"Little Fire: A Fantasy Romance (Warriors of the Five Realms): Mands, Hollee: 9780645141511: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (1)
0671501003,https://www.amazon.com/dp/0671501003/?aod=1,,"Private Parts: Stern, Howard: 0076714040953: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (6)
0738710806,https://www.amazon.com/dp/0738710806/?aod=1,,"Goddess Alive!: Inviting Celtic & Norse Goddesses into Your Life: Skye, Michelle: 9780738710808: Amazon.com: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (6)
0804136661,https://www.amazon.com/dp/0804136661/?aod=1,,"Amazon.com: The Third Door: The Wild Quest to Uncover How the World's Most Successful People Launched Their Careers: 9780804136662: Banayan, Alex: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (13)
0810993716,https://www.amazon.com/dp/0810993716/?aod=1,,"The Romantic Male Nude: Spada, James, Ford, Michael Thomas: 9780810993716: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (3)
0826135889,https://www.amazon.com/dp/0826135889/?aod=1,,"Amazon.com: What Every Mental Health Professional Needs to Know About Sex, Third Edition: 9780826135889: Buehler PsyD CST-S, Stephanie: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,Not added (2)
0880283912,https://www.amazon.com/dp/0880283912/?aod=1,,"Bible Women: All Their Words and Why They Matter: Hardin Freeman, Lindsay: 9780880283915: Amazon.com: Books",This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar See similar items shipping to Qatar. See Similar Items,Not added (2)
0892656867,https://www.amazon.com/dp/0892656867/?aod=1,,Tech Savvy Parenting: Brian Housman: 9780892656868: Amazon.com: Books,Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,Not added (21)
0956867634,https://www.amazon.com/dp/0956867634/?aod=1,,"Rimaru - Butcher of Bucharest (Profusion Crime): Phillips, Mike: 9780956867636: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (3)
0966250818,https://www.amazon.com/dp/0966250818/?aod=1,,"There's More Bodies Out There: The True Story of a Mafia Associate and a Cop who Emerge as Suspected Serial Killers: Porrello, Rick: 9780966250817: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (13)
0989094162,https://www.amazon.com/dp/0989094162/?aod=1,,"Pizzas & Mermaid: A Book of MeToo Stories (MeeToo Stories): Montgomery, Jonathan: 9780989094160: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
0989454932,https://www.amazon.com/dp/0989454932/?aod=1,,"The Sapper's Plot (A Master Sergeant Harper Mystery): Doyle, M. L.: 9780989454933: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
0996135669,https://www.amazon.com/dp/0996135669/?aod=1,,"Vicious (Sinners of Saint): Shen, L.J.: 9780996135665: Amazon.com: Books",This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar See similar items shipping to Qatar. See Similar Items,Not added (2)
0996135677,https://www.amazon.com/dp/0996135677/?aod=1,,"Amazon.com: Defy: 9780996135672: Shen, L.J.: Books",This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar See similar items shipping to Qatar. See Similar Items,Not added (7)
0999660225,https://www.amazon.com/dp/0999660225/?aod=1,,"Celebrity Female Star Power: The Millionaire Prisoner's Address Book: Kruger, Josh, Publishers, Freebird, Designs, Cyber Hut: 9780999660225: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (3)
1092119167,https://www.amazon.com/dp/1092119167/?aod=1,,"Your Pelvic Health Book: A Guide to Pelvic Floor Awareness, Bladder Health, Bowel Health, Sexual Health, and Changes throughout Your Lifetime for ... Uterus (Pelvic Floor Physical Therapy Series): Torborg, Jen: 9781092119160: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (2)
1094313289,https://www.amazon.com/dp/1094313289/?aod=1,,"Amazon.com: The Perfect Affair (A Jessie Hunt Psychological Suspense—Book Seven) (A Jessie Hunt Psychological Suspense Thriller): 9781094313283: Pierce, Blake: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
1387662252,https://www.amazon.com/dp/1387662252/?aod=1,,"Certain Moments of Time: Bethlehem, K.G.: 9781387662258: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
1455586285,https://www.amazon.com/dp/1455586285/?aod=1,,"Coming Back: Dane, Lauren: 9781455586288: Amazon.com: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,Not added (33)
1455589799,https://www.amazon.com/dp/1455589799/?aod=1,,"Seven Nights to Surrender: Grey, Jeanette: 9781455589791: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (7)
1463692676,https://www.amazon.com/dp/1463692676/?aod=1,,"Deadly Reunion: Manemann, Amy: 9781463692674: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
1481440934,https://www.amazon.com/dp/1481440934/?aod=1,,"Amazon.com: The Red: First Light (1) (The Red Trilogy): 9781481440936: Nagata, Linda: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (24)
1495900800,https://www.amazon.com/dp/1495900800/?aod=1,,"Wolves of the Sapphire Sun: This one's for the wild ones.: C., C. JoyBell: 9781495900808: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
1507529295,https://www.amazon.com/dp/1507529295/?aod=1,,"Amazon.com: The Intended (MacPherson Clan Series): 9781507529294: McGoldrick, May: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (2)
